punct,count,rank,per_1k
",",109,1,82.8267
.,71,2,53.9514
-,11,3,8.3587
?,8,4,6.079
!,4,5,3.0395
(,3,6,2.2796
),3,7,2.2796
…,1,8,0.7599
;,1,9,0.7599
