token,count,rank,per_1k
говорят,1,254,0.7599
умственного,1,255,0.7599
сидения,1,256,0.7599
трубами,1,257,0.7599
градусниками,1,258,0.7599
кучей,1,259,0.7599
заграничных,1,260,0.7599
заманчивыми,1,261,0.7599
рисунками,1,262,0.7599
заезжал,1,263,0.7599
жалкие,1,264,0.7599
владения,1,265,0.7599
руины,1,266,0.7599
развалины,1,267,0.7599
свойственным,1,268,0.7599
ему,1,269,0.7599
фанатизмом,1,270,0.7599
бранил,1,271,0.7599
порицал,1,272,0.7599
мысли,1,273,0.7599
человеческого,1,274,0.7599
происхождения,1,275,0.7599
явлений,1,276,0.7599
восставал,1,277,0.7599
горячился,1,278,0.7599
против,1,279,0.7599
вашей,1,280,0.7599
умственной,1,281,0.7599
сферы,1,282,0.7599
мыслительного,1,283,0.7599
горизонта,1,284,0.7599
покрытого,1,285,0.7599
светилами,1,286,0.7599
аэроглитами,1,287,0.7599
герасимовым,1,288,0.7599
ваших,1,289,0.7599
умственных,1,290,0.7599
идей,1,291,0.7599
живу,1,292,0.7599
питаюсь,1,293,0.7599
одной,1,294,0.7599
провидение,1,295,0.7599
дало,1,296,0.7599
роду,1,297,0.7599
человеческому,1,298,0.7599
вырытия,1,299,0.7599
недр,1,300,0.7599
драгоценных,1,301,0.7599
металов,1,302,0.7599
металоидов,1,303,0.7599
бриллиантов,1,304,0.7599
батюшка,1,305,0.7599
насекомого,1,306,0.7599
еле,1,307,0.7599
осмелюсь,1,308,0.7599
опровергнуть,1,309,0.7599
стариковски,1,310,0.7599
некоторые,1,311,0.7599
естества,1,312,0.7599
природы,1,313,0.7599
сочинение,1,314,0.7599
котором,1,315,0.7599
изложить,1,316,0.7599
весьма,1,317,0.7599
существенные,1,318,0.7599
щот,1,319,0.7599
первородного,1,320,0.7599
состояния,1,321,0.7599
допотопного,1,322,0.7599
бытия,1,323,0.7599
сочинить,1,324,0.7599
произошел,1,325,0.7599
обезьянских,1,326,0.7599
племен,1,327,0.7599
мартышек,1,328,0.7599
орангуташек,1,329,0.7599
п,1,330,0.7599
старичка,1,331,0.7599
важного,1,332,0.7599
пункта,1,333,0.7599
запятую,1,334,0.7599
поставить,1,335,0.7599
властитель,1,336,0.7599
умнейшее,1,337,0.7599
дыхательных,1,338,0.7599
существ,1,339,0.7599
происходил,1,340,0.7599
глупой,1,341,0.7599
невежественной,1,342,0.7599
него,1,343,0.7599
хвост,1,344,0.7599
голос,1,345,0.7599
водили,1,346,0.7599
городам,1,347,0.7599
цыганы,1,348,0.7599
платили,1,349,0.7599
деньги,1,350,0.7599
друг,1,351,0.7599
друга,1,352,0.7599
танцуя,1,353,0.7599
приказу,1,354,0.7599
цыгана,1,355,0.7599
сидя,1,356,0.7599
решеткой,1,357,0.7599
зверинце,1,358,0.7599
покрыты,1,359,0.7599
кругом,1,360,0.7599
шерстью,1,361,0.7599
носим,1,362,0.7599
одеяний,1,363,0.7599
коих,1,364,0.7599
лишены,1,365,0.7599
любили,1,366,0.7599
презирали,1,367,0.7599
женщину,1,368,0.7599
нее,1,369,0.7599
пахло,1,370,0.7599
обезьяной,1,371,0.7599
каждый,1,372,0.7599
вторник,1,373,0.7599
видим,1,374,0.7599
предводителя,1,375,0.7599
дворянства,1,376,0.7599
наши,1,377,0.7599
прародители,1,378,0.7599
похоронили,1,379,0.7599
христианском,1,380,0.7599
кладбище,1,381,0.7599
прапрадед,1,382,0.7599
амвросий,1,383,0.7599
живший,1,384,0.7599
оно,1,385,0.7599
царстве,1,386,0.7599
польском,1,387,0.7599
погребен,1,388,0.7599
обезьяна,1,389,0.7599
рядом,1,390,0.7599
абатом,1,391,0.7599
католическим,1,392,0.7599
иоакимом,1,393,0.7599
шостаком,1,394,0.7599
записки,1,395,0.7599
коего,1,396,0.7599
умеренном,1,397,0.7599
климате,1,398,0.7599
неумеренном,1,399,0.7599
употреблении,1,400,0.7599
горячих,1,401,0.7599
напитков,1,402,0.7599
хранятся,1,403,0.7599
доселе,1,404,0.7599
брата,1,405,0.7599
моего,1,406,0.7599
ивана,1,407,0.7599
маиора,1,408,0.7599
абат,1,409,0.7599
католический,1,410,0.7599
поп,1,411,0.7599
неука,1,412,0.7599
мешаюсь,1,413,0.7599
дела,1,414,0.7599
толкую,1,415,0.7599
своему,1,416,0.7599
старчески,1,417,0.7599
навязываю,1,418,0.7599
дикообразные,1,419,0.7599
аляповатые,1,420,0.7599
ученых,1,421,0.7599
цивилизованных,1,422,0.7599
скорей,1,423,0.7599
помещаются,1,424,0.7599
животе,1,425,0.7599
чем,1,426,0.7599
умолчать,1,427,0.7599
терплю,1,428,0.7599
мыслят,1,429,0.7599
уме,1,430,0.7599
возразить,1,431,0.7599
мыслите,1,432,0.7599
который,1,433,0.7599
заменяет,1,434,0.7599
нам,1,435,0.7599
часы,1,436,0.7599
мрака,1,437,0.7599
темноты,1,438,0.7599
спят,1,439,0.7599
проводите,1,440,0.7599
электричество,1,441,0.7599
места,1,442,0.7599
место,1,443,0.7599
фантазируете,1,444,0.7599
смейтесь,1,445,0.7599
над,1,446,0.7599
стариком,1,447,0.7599
пишу,1,448,0.7599
пишите,1,449,0.7599
обитают,1,450,0.7599
племена,1,451,0.7599
жили,1,452,0.7599
заслоняли,1,453,0.7599
магический,1,454,0.7599
волшебный,1,455,0.7599
свет,1,456,0.7599
домами,1,457,0.7599
тучными,1,458,0.7599
пастбищами,1,459,0.7599
дождика,1,460,0.7599
дождь,1,461,0.7599
идет,1,462,0.7599
вверх,1,463,0.7599
луну,1,464,0.7599
живя,1,465,0.7599
падали,1,466,0.7599
бывает,1,467,0.7599
нечистоты,1,468,0.7599
помои,1,469,0.7599
сыпались,1,470,0.7599
населенной,1,471,0.7599
луны,1,472,0.7599
ли,1,473,0.7599
существует,1,474,0.7599
ночью,1,475,0.7599
днем,1,476,0.7599
исчезает,1,477,0.7599
правительства,1,478,0.7599
дозволить,1,479,0.7599
причине,1,480,0.7599
далекого,1,481,0.7599
расстояния,1,482,0.7599
недосягаемости,1,483,0.7599
укрываться,1,484,0.7599
повинностей,1,485,0.7599
легко,1,486,0.7599
ошиблись,1,487,0.7599
умном,1,488,0.7599
соченении,1,489,0.7599
сказал,1,490,0.7599
самом,1,491,0.7599
величайшем,1,492,0.7599
светиле,1,493,0.7599
черные,1,494,0.7599
пятнушки,1,495,0.7599
могли,1,496,0.7599
нельзя,1,497,0.7599
глядеть,1,498,0.7599
простыми,1,499,0.7599
человеческими,1,500,0.7599
глазами,1,501,0.7599
чего,1,502,0.7599
нем,1,503,0.7599
них,1,504,0.7599
обойтиться,1,505,0.7599
какого,1,506,0.7599
мокрого,1,507,0.7599
тела,1,508,0.7599
сделаны,1,509,0.7599
эти,1,510,0.7599
самые,1,511,0.7599
они,1,512,0.7599
сгорают,1,513,0.7599
вашему,1,514,0.7599
рыбы,1,515,0.7599
дурмана,1,516,0.7599
ядовитого,1,517,0.7599
съострил,1,518,0.7599
ужасно,1,519,0.7599
предан,1,520,0.7599
науке,1,521,0.7599
рубль,1,522,0.7599
сей,1,523,0.7599
парус,1,524,0.7599
девятнадцатого,1,525,0.7599
столетия,1,526,0.7599
имеет,1,527,0.7599
никакой,1,528,0.7599
цены,1,529,0.7599
затемнила,1,530,0.7599
моих,1,531,0.7599
глаз,1,532,0.7599
дальнейшими,1,533,0.7599
крылами,1,534,0.7599
всякое,1,535,0.7599
терзает,1,536,0.7599
гвоздик,1,537,0.7599
спине,1,538,0.7599
невежда,1,539,0.7599
старосветский,1,540,0.7599
помещик,1,541,0.7599
негодник,1,542,0.7599
старый,1,543,0.7599
занимаюсь,1,544,0.7599
открытиями,1,545,0.7599
собственными,1,546,0.7599
руками,1,547,0.7599
произвожу,1,548,0.7599
наполняю,1,549,0.7599
свою,1,550,0.7599
головешку,1,551,0.7599
свой,1,552,0.7599
череп,1,553,0.7599
мыслями,1,554,0.7599
комплектом,1,555,0.7599
величайших,1,556,0.7599
знаний,1,557,0.7599
матушка,1,558,0.7599
природа,1,559,0.7599
книга,1,560,0.7599
надо,1,561,0.7599
читать,1,562,0.7599
произвел,1,563,0.7599
собственным,1,564,0.7599
умом,1,565,0.7599
таких,1,566,0.7599
каких,1,567,0.7599
ни,1,568,0.7599
один,1,569,0.7599
реформатор,1,570,0.7599
изобретал,1,571,0.7599
хвастовства,1,572,0.7599
последних,1,573,0.7599
образованности,1,574,0.7599
добытой,1,575,0.7599
мозолями,1,576,0.7599
богатством,1,577,0.7599
родителей,1,578,0.7599
отца,1,579,0.7599
матери,1,580,0.7599
опекунов,1,581,0.7599
часто,1,582,0.7599
губят,1,583,0.7599
детей,1,584,0.7599
своих,1,585,0.7599
богатства,1,586,0.7599
роскоши,1,587,0.7599
шестиэтажных,1,588,0.7599
жилищ,1,589,0.7599
невольниками,1,590,0.7599
электрическими,1,591,0.7599
позвонками,1,592,0.7599
грошовый,1,593,0.7599
ум,1,594,0.7599
великая,1,595,0.7599
огненная,1,596,0.7599
лучистая,1,597,0.7599
хламида,1,598,0.7599
раз,1,599,0.7599
утром,1,600,0.7599
занимательно,1,601,0.7599
живописно,1,602,0.7599
играет,1,603,0.7599
разноцветными,1,604,0.7599
цветами,1,605,0.7599
чудным,1,606,0.7599
мерцанием,1,607,0.7599
игривое,1,608,0.7599
впечатление,1,609,0.7599
другое,1,610,0.7599
отчего,1,611,0.7599
длинная,1,612,0.7599
летом,1,613,0.7599
наоборот,1,614,0.7599
прочим,1,615,0.7599
предметам,1,616,0.7599
видимым,1,617,0.7599
невидимым,1,618,0.7599
холода,1,619,0.7599
сжимается,1,620,0.7599
заходит,1,621,0.7599
возжения,1,622,0.7599
светильников,1,623,0.7599
фонарей,1,624,0.7599
расширяется,1,625,0.7599
согревается,1,626,0.7599
потом,1,627,0.7599
собаки,1,628,0.7599
весной,1,629,0.7599
траву,1,630,0.7599
кушают,1,631,0.7599
