source,source_lower,target,target_lower,weight,context_level,chapters,num_chapters
Москву,москв,Растопчина,растопч,23,sentence,"23,24,44,45,69,71,76,81,89,90,91",11
Александра,александр,Наполеона,наполеон,20,sentence,"0,1,2,4,5,6,8,28",8
Москву,москв,Пьером,пьер,20,sentence,"7,23,45,49,51,52,76,84,92,94",10
Москву,москв,Наполеона,наполеон,18,sentence,"0,6,23,28,34,44,46,53,56,66,86,92",12
Балашев,балаш,Наполеона,наполеон,16,sentence,"3,4,5,6",4
Наполеона,наполеон,России,росси,15,sentence,"0,1,5,17,28,46,52,55,56",9
Москву,москв,Смоленской,смоленск,10,sentence,"28,32,34,46,52,66,68,71",8
Андрея,андре,Пьером,пьер,10,sentence,"51,52,58,75",4
Наташи,наташ,Соне,сон,10,sentence,"78,80,82,83,96",5
Андрей,андр,Кутузова,кутуз,9,sentence,"7,42,43",3
Барклаю,баркла,Толли,толл,9,sentence,"7,8,28,33,42,52,63",7
Можайск,можайск,Пьером,пьер,9,sentence,"45,47,52,74,75",5
Верещагин,верещаг,Растопчина,растопч,9,sentence,"77,90",2
Bourienne,bourienne,Княжна Марья,марь,8,sentence,"7,29,37",3
Андрей,андр,Андрея,андре,8,sentence,"9,10,32,43,52,97",6
Москву,москв,Ростовых,ростовых,8,sentence,"15,16,18,78,81,92,95",7
Наташи,наташ,Пьером,пьер,8,sentence,"16,18,83,92,94",5
Кутузова,кутуз,Москву,москв,8,sentence,"68,69,70,85,89",5
Андрей,андр,Москву,москв,7,sentence,"7,29,32,35,52,97",6
Москву,москв,России,росси,7,sentence,"8,24,28,44,71,82,89",7
Ильина,иль,Ростов,рост,7,sentence,"11,12,13,40,41",5
Алпатыча,алпатыч,Дрон,дрон,7,sentence,"36,37,40",3
Европы,европ,России,росси,6,sentence,"0,24,26,68",4
Мюрат,мюрат,Наполеона,наполеон,6,sentence,"3,50,61,62",4
Даву,дав,Наполеона,наполеон,6,sentence,"3,4,54,61,62",5
Андрей,андр,Турцию,турци,6,sentence,"7,9,10",3
Наташи,наташ,Ростовых,ростовых,6,sentence,"15,16,18,24,92,97",6
Наташи,наташ,Петю,пет,6,sentence,"15,78,82",3
Наполеона,наполеон,Пьером,пьер,6,sentence,"23,61,77,92,98",5
Пьером,пьер,Чт,чт,6,sentence,"24,44,45,49,74,76",6
Барклай,барклай,Толли,толл,6,sentence,"28,46,63,70,82",5
Граф Бенигсен,бенигсен,Кутузова,кутуз,6,sentence,"49,69,70",3
Бородинского,бородинского,Москву,москв,6,sentence,"66,71,85,89",4
Наполеона,наполеон,Неману,неман,5,sentence,"1,2,5",3
Балашеву,балашев,Наполеона,наполеон,5,sentence,"3,4,5",3
Балашев,балаш,Даву,дав,5,sentence,4,1
Александра,александр,Балашев,балаш,5,sentence,"4,5,6",3
Москву,москв,Петербурга,петербург,5,sentence,"5,6,7,34,68",5
Андрей,андр,Княжна Марья,марь,5,sentence,"7,35",2
Вольцоген,вольцоген,Пфуль,пфуль,5,sentence,"8,9,10",3
Ильиным,ильиным,Ростов,рост,5,sentence,"11,34,40,41",4
Москву,москв,Наташи,наташ,5,sentence,"15,78,92,96",4
Москву,москв,Петю,пет,5,sentence,"15,78,82",3
Наполеона,наполеон,Смоленской,смоленск,5,sentence,"17,28,32,46,66",5
Москву,москв,Растопчиным,растопчиным,5,sentence,"23,44,45,84,89",5
Андрея,андре,Княжна Марья,марь,5,sentence,"29,31,37",3
Алпатыча,алпатыч,Смоленской,смоленск,5,sentence,"29,30,31,35",4
Алпатыча,алпатыч,Княжна Марья,марь,5,sentence,"29,31,37,40",4
Лысые Горы,гор,Смоленской,смоленск,5,sentence,"31,32,42",3
Лаврушку,лаврушк,Наполеона,наполеон,5,sentence,"34,40",2
Княжна Марья,марь,Ростов,рост,5,sentence,"40,41",2
Андрея,андре,Кутузова,кутуз,5,sentence,"42,43",2
Ах,ах,Пьером,пьер,5,sentence,"44,50,74,76,84",5
Бородинское,бородинско,Наполеона,наполеон,5,sentence,"46,55,56",3
Иосифа Алексеевича,алексеевич,Пьером,пьер,5,sentence,"84,92",2
Герасим,герасим,Пьером,пьер,5,sentence,"84,93,98",3
Барклай,барклай,Граф Бенигсен,бенигсен,4,sentence,"5,8,9,28",4
Андрей,андр,Пьером,пьер,4,sentence,"7,51,52",3
Андрея,андре,России,росси,4,sentence,"7,35,43,97",4
Андрей,андр,Лысые Горы,гор,4,sentence,"7,32",2
Андрея,андре,Лысые Горы,гор,4,sentence,"7,31,32",3
Андрей,андр,Болконскому,болконском,4,sentence,"8,9,10,52",4
Пфуля,пфул,Пфуль,пфуль,4,sentence,"8,9,10",3
Марья Генриховна,генриховн,Ростов,рост,4,sentence,12,1
Лаврушку,лаврушк,Ростов,рост,4,sentence,"12,40,41",3
Пьером,пьер,Ростовых,ростовых,4,sentence,"17,18,84,92",4
