name,name_lower,chapter_idx,count
Absicht,absicht,26,1
Ach,ach,35,1
Adieu,adieu,11,2
Adieu,adieu,20,2
Adieu,adieu,23,1
Adorable,adorable,3,1
Ah,ah,2,1
Ah,ah,3,2
Ah,ah,5,1
Ah,ah,10,2
Ah,ah,17,2
Ah,ah,20,5
Ah,ah,21,5
Ah,ah,23,2
Ah,ah,49,2
Aline,aline,46,1
Allirte,allirte,26,1
Am,am,49,1
Anatole,anatole,20,1
Andr,andr,2,1
Andr,andr,5,4
Andr,andr,21,2
Andr,andr,23,11
Angleterre,angleterre,11,1
Angleterre,angleterre,36,1
Annette,annette,0,1
Annette,annette,1,1
Annette,annette,4,1
Annette,annette,9,1
Annette,annette,12,1
Annette,annette,48,4
Annette Scherer,annette scherer,0,1
Annette Шерер,annette шерер,10,2
Antichrist,antichrist,0,1
Ap,ap,20,1
Apraksine,apraksine,6,2
Apraksine,apraksine,7,1
Apraksine,apraksine,13,1
Apraksine,apraksine,22,1
Apraksines,apraksines,20,1
Arrangez,arrangez,0,1
Attendez,attendez,0,1
Attendez,attendez,2,1
Attendez,attendez,34,1
Attendez,attendez,45,1
Auersperg,auersperg,35,1
Augenblick,augenblick,26,1
Autriche,autriche,14,1
Autriche,autriche,33,1
Ayez,ayez,17,1
Basile,basile,3,1
Basile,basile,20,6
Basile,basile,45,1
Bellowitz,bellowitz,56,1
Berge,berge,56,1
Berlin,berlin,34,1
Besitze,besitze,56,1
Bilibine,bilibine,33,1
Bonaparte,bonaparte,3,1
Bonaparte,bonaparte,33,1
Bonjour,bonjour,7,1
Bonjour,bonjour,11,1
Bonsoir,bonsoir,5,1
Boris,boris,10,2
Boris,boris,19,1
Bornons,bornons,20,1
Bourbons,bourbons,3,1
Bourienne,bourienne,20,3
Bourienne,bourienne,21,4
Bourienne,bourienne,22,1
Bourienne,bourienne,23,4
Bourienne,bourienne,47,18
Bourienne,bourienne,48,21
Bourienne,bourienne,49,13
Br,br,34,1
Buonaparte,buonaparte,0,2
Buonaparte,buonaparte,3,2
Buonaparte,buonaparte,33,2
Campo Formio,campo formio,33,1
Capital,capital,3,1
Catiche,catiche,16,1
Catiche,catiche,19,1
Ch,ch,3,1
Ch,ch,6,1
Ch,ch,20,2
Cond,cond,3,1
Connaissez,connaissez,14,1
Contez,contez,2,1
Contrat,contrat,3,1
Cousinage,cousinage,8,1
Defileen,defileen,56,1
Demosth,demosth,34,1
Dieu,dieu,0,1
Dieu,dieu,3,3
Dieu,dieu,5,1
Dieu,dieu,11,1
Dieu,dieu,19,1
Dieu,dieu,20,4
Dieu,dieu,21,3
Dieu,dieu,22,1
Dieu,dieu,23,1
Dio,dio,3,1
Doerfer Sokolnitz,doerfer sokolnitz,56,1
Donau,donau,26,2
Donau Meister,donau meister,26,1
Donnez,donnez,20,1
Ecoutez,ecoutez,0,1
Eh,eh,0,2
Eh,eh,4,1
Eh,eh,20,1
Eh,eh,47,1
Eh,eh,55,1
Elisabeth,elisabeth,3,1
Endzwecke,endzwecke,56,1
Erlaucht,erlaucht,35,1
Eternel,eternel,20,1
Euer Hochgeboren,euer hochgeboren,32,1
Europe,europe,20,1
Evangile,evangile,20,1
Feind,feind,26,2
Feind,feind,56,2
Feinde,feinde,26,2
Feindes,feindes,56,1
Fiez,fiez,17,1
Figurez,figurez,20,1
Flaeche,flaeche,56,1
Flanke,flanke,56,1
Fluegel,fluegel,56,4
Front,front,56,1
Funke,funke,0,1
Gegentheil,gegentheil,56,1
Genlis,genlis,9,3
