token,token_lower,count,rank,per_1k,chapter_0,chapter_1,chapter_2
и,и,4905,1,44.412,1628,1421,1856
в,в,2348,2,21.2598,752,700,896
не,не,1970,3,17.8373,666,516,788
он,он,1808,4,16.3704,523,539,746
на,на,1615,5,14.6229,529,515,571
с,с,1384,6,12.5314,490,409,485
что,что,1268,7,11.481,433,332,503
как,как,1073,8,9.7154,332,308,433
к,к,872,9,7.8955,281,270,321
я,я,861,10,7.7959,337,175,349
его,его,852,11,7.7144,272,256,324
то,то,781,12,7.0715,201,267,313
князь,князь,626,13,5.6681,230,173,223
но,но,600,14,5.4327,208,144,248
это,это,585,15,5.2968,179,124,282
она,она,568,16,5.1429,360,10,198
сказал,сказал,565,17,5.1158,191,215,159
было,было,500,18,4.5272,129,165,206
за,за,499,19,4.5182,180,152,167
так,так,488,20,4.4186,160,131,197
а,а,459,21,4.156,137,164,158
по,по,452,22,4.0926,126,159,167
всё,всё,425,23,3.8481,157,100,168
чтò,чтò,411,24,3.7214,128,158,125
из,из,404,25,3.658,134,153,117
ему,ему,390,26,3.5312,104,116,170
от,от,384,27,3.4769,99,141,144
вы,вы,369,28,3.3411,118,108,143
был,был,367,29,3.323,111,107,149
же,же,366,30,3.3139,123,107,136
ее,ее,357,31,3.2324,184,17,156
у,у,329,32,2.9789,144,79,106
бы,бы,322,33,2.9155,85,83,154
о,о,322,34,2.9155,90,64,168
только,только,301,35,2.7254,107,70,124
андрей,андрей,296,36,2.6801,95,120,81
еще,еще,292,37,2.6439,104,77,111
мне,мне,232,38,2.1006,110,31,91
ростов,ростов,232,39,2.1006,4,94,134
ты,ты,229,40,2.0735,119,54,56
все,все,228,41,2.0644,94,47,87
да,да,217,42,1.9648,66,64,87
для,для,216,43,1.9558,76,37,103
de,de,214,44,1.9377,144,38,32
него,него,214,45,1.9377,71,65,78
пьер,пьер,213,46,1.9286,158,0,55
уже,уже,206,47,1.8652,57,58,91
была,была,205,48,1.8562,75,54,76
они,они,200,49,1.8109,65,80,55
себя,себя,199,50,1.8018,57,43,99
сказала,сказала,197,51,1.7837,157,0,40
когда,когда,196,52,1.7747,67,40,89
говорил,говорил,191,53,1.7294,64,61,66
теперь,теперь,185,54,1.6751,58,45,82
очень,очень,185,55,1.6751,77,30,78
ну,ну,182,56,1.6479,67,57,58
вот,вот,182,57,1.6479,67,46,69
vous,vous,179,58,1.6207,127,19,33
быть,быть,175,59,1.5845,40,37,98
будто,будто,175,60,1.5845,63,65,47
ни,ни,174,61,1.5755,59,39,76
их,их,173,62,1.5664,49,49,75
были,были,172,63,1.5574,48,64,60
время,время,170,64,1.5393,55,44,71
нет,нет,169,65,1.5302,46,41,82
меня,меня,165,66,1.494,65,37,63
который,который,162,67,1.4668,52,47,63
ничего,ничего,161,68,1.4578,56,40,65
чтобы,чтобы,160,69,1.4487,61,42,57
до,до,158,70,1.4306,44,46,68
или,или,157,71,1.4215,49,36,72
князя,князя,155,72,1.4034,57,37,61
этого,этого,155,73,1.4034,43,31,81
анна,анна,153,74,1.3853,123,0,30
того,того,150,75,1.3582,46,36,68
опять,опять,150,76,1.3582,69,38,43
вас,вас,146,77,1.3219,46,35,65
княжна,княжна,141,78,1.2767,90,0,51
всех,всех,140,79,1.2676,40,46,54
под,под,139,80,1.2586,29,62,48
глаза,глаза,137,81,1.2405,44,42,51
будет,будет,136,82,1.2314,50,26,60
чем,чем,136,83,1.2314,42,32,62
лицо,лицо,136,84,1.2314,65,36,35
que,que,134,85,1.2133,98,13,23
ли,ли,134,86,1.2133,42,37,55
этот,этот,129,87,1.168,40,33,56
себе,себе,129,88,1.168,39,24,66
et,et,128,89,1.159,101,11,16
ежели,ежели,127,90,1.1499,48,32,47
тем,тем,127,91,1.1499,41,33,53
том,том,126,92,1.1409,35,28,63
вам,вам,126,93,1.1409,39,37,50
где,где,126,94,1.1409,35,47,44
мы,мы,122,95,1.1046,38,26,58
при,при,121,96,1.0956,30,35,56
василий,василий,120,97,1.0865,57,0,63
est,est,118,98,1.0684,75,20,23
je,je,115,99,1.0413,94,5,16
мой,мой,113,100,1.0232,29,14,70
один,один,112,101,1.0141,28,38,46
la,la,111,102,1.005,89,9,13
которые,которые,111,103,1.005,32,32,47
дело,дело,111,104,1.005,26,31,54
le,le,110,105,0.996,77,21,12
во,во,109,106,0.9869,35,36,38
руку,руку,108,107,0.9779,56,22,30
вдруг,вдруг,108,108,0.9779,48,27,33
более,более,108,109,0.9779,41,22,45
после,после,107,110,0.9688,31,33,43
мог,мог,107,111,0.9688,22,32,53
может,может,106,112,0.9598,31,17,58
граф,граф,106,113,0.9598,69,8,29
mon,mon,104,114,0.9417,73,9,22
хорошо,хорошо,104,115,0.9417,37,20,47
свою,свою,103,116,0.9326,42,22,39
офицер,офицер,103,117,0.9326,8,75,20
чтó,чтó,103,118,0.9326,35,2,66
со,со,102,119,0.9236,20,46,36
кутузов,кутузов,102,120,0.9236,0,60,42
ним,ним,101,121,0.9145,24,31,46
раз,раз,100,122,0.9054,33,23,44
сам,сам,100,123,0.9054,28,31,41
человек,человек,99,124,0.8964,34,28,37
несколько,несколько,97,125,0.8783,23,30,44
ей,ей,97,126,0.8783,50,4,43
княгиня,княгиня,97,127,0.8783,60,0,37
перед,перед,96,128,0.8692,18,38,40
другой,другой,95,129,0.8602,22,35,38
кто,кто,94,130,0.8511,27,30,37
ваше,ваше,92,131,0.833,6,47,39
à,à,91,132,0.824,78,6,7
эти,эти,89,133,0.8058,29,23,37
лошадь,лошадь,89,134,0.8058,0,36,53
всегда,всегда,87,135,0.7877,40,19,28
друг,друг,87,136,0.7877,30,17,40
михайловна,михайловна,87,137,0.7877,72,0,15
между,между,86,138,0.7787,22,32,32
солдат,солдат,86,139,0.7787,0,62,24
надо,надо,85,140,0.7696,29,20,36
там,там,85,141,0.7696,12,38,35
знаю,знаю,84,142,0.7606,39,13,32
своего,своего,83,143,0.7515,24,29,30
видимо,видимо,83,144,0.7515,39,25,19
отвечал,отвечал,82,145,0.7425,29,32,21
своим,своим,82,146,0.7425,32,23,27
потому,потому,82,147,0.7425,29,17,36
борис,борис,82,148,0.7425,43,0,39
людей,людей,81,149,0.7334,19,28,34
им,им,81,150,0.7334,18,25,38
спросил,спросил,81,151,0.7334,21,36,24
ней,ней,80,152,0.7244,40,6,34
без,без,79,153,0.7153,30,22,27
над,над,79,154,0.7153,16,28,35
a,a,78,155,0.7062,65,5,8
через,через,78,156,0.7062,23,26,29
два,два,77,157,0.6972,19,36,22
пьера,пьера,77,158,0.6972,45,0,32
эту,эту,76,159,0.6881,25,25,26
нее,нее,75,160,0.6791,39,4,32
про,про,75,161,0.6791,23,20,32
которое,которое,75,162,0.6791,27,14,34
своей,своей,75,163,0.6791,27,14,34
этих,этих,74,164,0.67,11,22,41
les,les,73,165,0.661,56,8,9
улыбаясь,улыбаясь,73,166,0.661,36,18,19
человека,человека,73,167,0.661,28,19,26
чтоб,чтоб,73,168,0.661,26,17,30
голову,голову,73,169,0.661,24,20,29
ne,ne,72,170,0.6519,57,5,10
говорила,говорила,72,171,0.6519,40,2,30
князю,князю,72,172,0.6519,20,23,29
нибудь,нибудь,72,173,0.6519,30,17,25
которой,которой,72,174,0.6519,15,26,31
тебе,тебе,72,175,0.6519,40,6,26
думал,думал,71,176,0.6429,5,19,47
вперед,вперед,71,177,0.6429,7,36,28
потом,потом,70,178,0.6338,24,11,35
генерал,генерал,70,179,0.6338,2,47,21
есть,есть,67,180,0.6066,29,15,23
казалось,казалось,67,181,0.6066,15,22,30
видел,видел,67,182,0.6066,12,23,32
графа,графа,67,183,0.6066,53,1,13
здесь,здесь,67,184,0.6066,20,28,19
минуту,минуту,67,185,0.6066,20,21,26
pas,pas,66,186,0.5976,45,10,11
несмотря,несмотря,66,187,0.5976,20,26,20
этом,этом,66,188,0.5976,19,25,22
этой,этой,66,189,0.5976,18,19,29
марья,марья,66,190,0.5976,37,0,29
павловна,павловна,65,191,0.5885,51,0,14
лице,лице,65,192,0.5885,28,18,19
улыбкой,улыбкой,65,193,0.5885,31,8,26
которого,которого,64,194,0.5795,19,12,33
впереди,впереди,64,195,0.5795,6,23,35
войска,войска,64,196,0.5795,1,26,37
bourienne,bourienne,64,197,0.5795,12,0,52
ах,ах,63,198,0.5704,20,8,35
которая,которая,63,199,0.5704,18,15,30
un,un,63,200,0.5704,41,14,8
больше,больше,63,201,0.5704,21,17,25
говорить,говорить,63,202,0.5704,27,16,20
слова,слова,63,203,0.5704,19,21,23
нему,нему,63,204,0.5704,15,17,31
нужно,нужно,62,205,0.5614,26,11,25
знал,знал,62,206,0.5614,18,11,33
руки,руки,62,207,0.5614,32,14,16
голос,голос,62,208,0.5614,16,22,24
подумал,подумал,62,209,0.5614,5,22,35
даже,даже,61,210,0.5523,24,8,29
чего,чего,61,211,0.5523,23,17,21
могу,могу,61,212,0.5523,19,15,27
назад,назад,61,213,0.5523,11,27,23
графиня,графиня,61,214,0.5523,48,0,13
нас,нас,60,215,0.5433,14,14,32
свое,свое,60,216,0.5433,18,16,26
вместе,вместе,60,217,0.5433,17,18,25
день,день,60,218,0.5433,14,14,32
лица,лица,59,219,0.5342,26,17,16
прежде,прежде,59,220,0.5342,17,14,28
тоже,тоже,59,221,0.5342,18,18,23
них,них,59,222,0.5342,16,19,24
обратился,обратился,59,223,0.5342,9,26,24
которую,которую,59,224,0.5342,19,7,33
lle,lle,59,225,0.5342,12,0,47
всего,всего,59,226,0.5342,13,15,31
солдаты,солдаты,59,227,0.5342,2,38,19
одно,одно,58,228,0.5252,14,22,22
стал,стал,58,229,0.5252,17,21,20
государя,государя,58,230,0.5252,2,0,56
подошел,подошел,57,231,0.5161,24,20,13
своих,своих,57,232,0.5161,24,12,21
видно,видно,57,233,0.5161,18,26,13
милый,милый,57,234,0.5161,10,10,37
наташа,наташа,57,235,0.5161,42,0,15
багратион,багратион,57,236,0.5161,0,45,12
никогда,никогда,56,237,0.507,27,3,26
долохов,долохов,56,238,0.507,24,29,3
хотел,хотел,55,239,0.498,21,18,16
ce,ce,55,240,0.498,33,6,16
всем,всем,55,241,0.498,32,7,16
об,об,55,242,0.498,14,15,26
pour,pour,55,243,0.498,39,9,7
смотрел,смотрел,55,244,0.498,24,18,13
сказать,сказать,54,245,0.4889,20,16,18
свои,свои,54,246,0.4889,16,11,27
уж,уж,54,247,0.4889,21,11,22
разговор,разговор,54,248,0.4889,31,15,8
тут,тут,54,249,0.4889,20,16,18
тебя,тебя,54,250,0.4889,23,7,24
письмо,письмо,54,251,0.4889,14,7,33
государь,государь,54,252,0.4889,2,3,49
ma,ma,53,253,0.4799,34,1,18
болконский,болконский,53,254,0.4799,5,27,21
сын,сын,53,255,0.4799,37,2,14
глазами,глазами,53,256,0.4799,24,17,12
проговорил,проговорил,53,257,0.4799,13,20,20
денисов,денисов,53,258,0.4799,0,45,8
особенно,особенно,52,259,0.4708,25,14,13
тех,тех,52,260,0.4708,18,11,23
андрея,андрея,52,261,0.4708,17,25,10
одна,одна,51,262,0.4618,29,11,11
ж,ж,51,263,0.4618,10,20,21
продолжал,продолжал,51,264,0.4618,31,17,3
вышел,вышел,51,265,0.4618,23,18,10
командир,командир,51,266,0.4618,0,44,7
одного,одного,50,267,0.4527,12,19,19
кутузова,кутузова,50,268,0.4527,2,28,20
закричал,закричал,50,269,0.4527,13,21,16
котором,котором,49,270,0.4437,15,16,18
люди,люди,49,271,0.4437,17,16,16
кроме,кроме,49,272,0.4437,16,14,19
нельзя,нельзя,49,273,0.4437,18,14,17
ростова,ростова,49,274,0.4437,4,21,24
французов,французов,49,275,0.4437,2,36,11
против,против,48,276,0.4346,16,12,20
знаете,знаете,48,277,0.4346,17,7,24
глядя,глядя,48,278,0.4346,24,6,18
тот,тот,48,279,0.4346,23,7,18
остановился,остановился,48,280,0.4346,13,20,15
прямо,прямо,48,281,0.4346,20,11,17
армии,армии,48,282,0.4346,1,23,24
штаб,штаб,48,283,0.4346,0,46,2
говорили,говорили,47,284,0.4256,16,15,16
элен,элен,47,285,0.4256,8,0,39
много,много,47,286,0.4256,9,17,21
des,des,46,287,0.4165,36,4,6
анатоль,анатоль,46,288,0.4165,17,0,29
стоял,стоял,46,289,0.4165,9,19,18
лошади,лошади,46,290,0.4165,0,24,22
несвицкий,несвицкий,46,291,0.4165,0,43,3
nous,nous,45,292,0.4074,37,4,4
une,une,45,293,0.4074,35,2,8
обращаясь,обращаясь,45,294,0.4074,20,14,11
тому,тому,45,295,0.4074,11,10,24
двери,двери,45,296,0.4074,26,13,6
совершенно,совершенно,45,297,0.4074,12,10,23
которых,которых,45,298,0.4074,12,12,21
соня,соня,45,299,0.4074,32,0,13
chère,chère,44,300,0.3984,37,0,7
нынче,нынче,44,301,0.3984,13,13,18
бог,бог,44,302,0.3984,18,8,18
этим,этим,44,303,0.3984,11,13,20
делать,делать,44,304,0.3984,16,15,13
молодой,молодой,44,305,0.3984,21,6,17
голосом,голосом,44,306,0.3984,13,22,9
николай,николай,44,307,0.3984,20,2,22
мост,мост,44,308,0.3984,0,44,0
хотя,хотя,43,309,0.3893,18,16,9
видеть,видеть,43,310,0.3893,15,12,16
выражение,выражение,43,311,0.3893,18,11,14
нем,нем,43,312,0.3893,15,9,19
около,около,43,313,0.3893,12,15,16
друга,друга,43,314,0.3893,17,14,12
мимо,мимо,43,315,0.3893,7,18,18
qui,qui,43,316,0.3893,36,3,4
должен,должен,43,317,0.3893,6,13,24
комнату,комнату,43,318,0.3893,20,12,11
n,n,42,319,0.3803,25,11,6
можно,можно,42,320,0.3803,19,13,10
qu,qu,42,321,0.3803,28,6,8
всю,всю,42,322,0.3803,15,13,14
двух,двух,42,323,0.3803,11,15,16
лицом,лицом,42,324,0.3803,15,15,12
очевидно,очевидно,42,325,0.3803,12,9,21
собой,собой,42,326,0.3803,15,9,18
сидел,сидел,42,327,0.3803,19,14,9
полковой,полковой,42,328,0.3803,0,38,4
голоса,голоса,41,329,0.3712,10,16,15
d,d,41,330,0.3712,27,7,7
бонапарте,бонапарте,41,331,0.3712,23,9,9
пьеру,пьеру,41,332,0.3712,30,0,11
моя,моя,41,333,0.3712,22,0,19
ту,ту,41,334,0.3712,7,22,12
княжны,княжны,41,335,0.3712,22,0,19
полк,полк,41,336,0.3712,2,29,10
выражением,выражением,40,337,0.3622,14,15,11
tout,tout,40,338,0.3622,28,4,8
чувство,чувство,40,339,0.3622,6,17,17
прибавил,прибавил,40,340,0.3622,14,13,13
маленькая,маленькая,40,341,0.3622,15,1,24
глаз,глаз,40,342,0.3622,15,17,8
своими,своими,40,343,0.3622,13,11,16
знает,знает,39,344,0.3531,14,14,11
весело,весело,39,345,0.3531,13,15,11
эта,эта,39,346,0.3531,10,7,22
те,те,39,347,0.3531,12,7,20
никто,никто,39,348,0.3531,13,13,13
французы,французы,39,349,0.3531,2,30,7
поехал,поехал,39,350,0.3531,2,12,25
быстро,быстро,39,351,0.3531,14,12,13
чувствовал,чувствовал,39,352,0.3531,2,6,31
куда,куда,39,353,0.3531,2,23,14
место,место,38,354,0.3441,12,10,16
наконец,наконец,38,355,0.3441,13,7,18
адъютант,адъютант,38,356,0.3441,6,23,9
той,той,38,357,0.3441,5,12,21
вид,вид,38,358,0.3441,8,17,13
совсем,совсем,38,359,0.3441,14,10,14
какой,какой,38,360,0.3441,11,10,17
дальше,дальше,38,361,0.3441,1,11,26
сражения,сражения,38,362,0.3441,0,15,23
mais,mais,37,363,0.335,24,3,10
зачем,зачем,37,364,0.335,7,13,17
du,du,37,365,0.335,24,8,5
знать,знать,37,366,0.335,13,8,16
другие,другие,37,367,0.335,15,10,12
руками,руками,37,368,0.335,18,13,6
первый,первый,37,369,0.335,9,16,12
сделать,сделать,37,370,0.335,11,6,20
завтра,завтра,37,371,0.335,5,8,24
кажется,кажется,37,372,0.335,14,6,17
дверь,дверь,37,373,0.335,27,5,5
старый,старый,37,374,0.335,16,5,16
plus,plus,36,375,0.326,31,3,2
me,me,36,376,0.326,32,1,3
весь,весь,36,377,0.326,9,10,17
en,en,36,378,0.326,29,3,4
кого,кого,36,379,0.326,14,6,16
императора,императора,36,380,0.326,4,6,26
жизни,жизни,36,381,0.326,14,8,14
рукой,рукой,36,382,0.326,15,14,7
сторон,сторон,36,383,0.326,8,14,14
таким,таким,36,384,0.326,14,11,11
говорю,говорю,36,385,0.326,13,12,11
пошел,пошел,36,386,0.326,7,14,15
ростову,ростову,36,387,0.326,1,6,29
звуки,звуки,36,388,0.326,9,10,17
si,si,35,389,0.3169,26,2,7
которым,которым,35,390,0.3169,10,10,15
сейчас,сейчас,35,391,0.3169,15,7,13
говорят,говорят,35,392,0.3169,14,8,13
своем,своем,35,393,0.3169,12,6,17
других,других,35,394,0.3169,7,13,15
комнате,комнате,35,395,0.3169,22,6,7
давно,давно,35,396,0.3169,11,11,13
отца,отца,35,397,0.3169,27,0,8
бориса,бориса,35,398,0.3169,13,0,22
кричал,кричал,35,399,0.3169,7,15,13
такой,такой,35,400,0.3169,12,3,20
офицера,офицера,35,401,0.3169,3,25,7
го,го,35,402,0.3169,3,20,12
милая,милая,35,403,0.3169,14,1,20
тушин,тушин,35,404,0.3169,0,35,0
comme,comme,34,405,0.3079,22,8,4
тогда,тогда,34,406,0.3079,16,5,13
анны,анны,34,407,0.3079,22,0,12
нам,нам,34,408,0.3079,9,11,14
своею,своею,34,409,0.3079,13,10,11
сына,сына,34,410,0.3079,22,0,12
взял,взял,34,411,0.3079,9,16,9
свой,свой,34,412,0.3079,12,9,13
дела,дела,34,413,0.3079,6,17,11
гусар,гусар,34,414,0.3079,4,17,13
слово,слово,33,415,0.2988,15,9,9
вся,вся,33,416,0.2988,9,11,13
почти,почти,33,417,0.2988,12,11,10
могла,могла,33,418,0.2988,14,1,18
если,если,33,419,0.2988,5,2,26
головой,головой,33,420,0.2988,15,14,4
слишком,слишком,33,421,0.2988,16,5,12
подле,подле,33,422,0.2988,12,5,16
наполеон,наполеон,33,423,0.2988,9,1,23
ведь,ведь,33,424,0.2988,16,7,10
крикнул,крикнул,33,425,0.2988,9,13,11
главнокомандующего,главнокомандующего,33,426,0.2988,2,16,15
войск,войск,33,427,0.2988,1,15,17
неприятеля,неприятеля,33,428,0.2988,0,17,16
орудия,орудия,33,429,0.2988,0,32,1
on,on,32,430,0.2897,21,4,7
думаю,думаю,32,431,0.2897,19,7,6
отец,отец,32,432,0.2897,17,1,14
ипполит,ипполит,32,433,0.2897,21,6,5
комнаты,комнаты,32,434,0.2897,21,5,6
тотчас,тотчас,32,435,0.2897,13,5,14
указывая,указывая,32,436,0.2897,12,8,12
полковник,полковник,32,437,0.2897,7,25,0
тяжело,тяжело,32,438,0.2897,17,7,8
командира,командира,32,439,0.2897,1,27,4
сзади,сзади,32,440,0.2897,3,19,10
билибин,билибин,32,441,0.2897,0,30,2
государю,государю,31,442,0.2807,11,2,18
право,право,31,443,0.2807,12,10,9
молча,молча,31,444,0.2807,9,14,8
улыбнулся,улыбнулся,31,445,0.2807,15,9,7
виконт,виконт,31,446,0.2807,24,0,7
сюда,сюда,31,447,0.2807,17,6,8
видом,видом,31,448,0.2807,18,3,10
император,император,31,449,0.2807,1,14,16
посмотрел,посмотрел,31,450,0.2807,14,10,7
стояли,стояли,31,451,0.2807,9,11,11
какое,какое,31,452,0.2807,13,6,12
старик,старик,31,453,0.2807,20,1,10
сиятельство,сиятельство,31,454,0.2807,5,13,13
понять,понять,30,455,0.2716,15,1,14
dans,dans,30,456,0.2716,19,6,5
ко,ко,30,457,0.2716,14,6,10
оно,оно,30,458,0.2716,8,7,15
всей,всей,30,459,0.2716,10,7,13
господа,господа,30,460,0.2716,4,21,5
смотрели,смотрели,30,461,0.2716,8,17,5
русские,русские,30,462,0.2716,2,13,15
говорит,говорит,29,463,0.2626,7,7,15
буду,буду,29,464,0.2626,9,3,17
сделал,сделал,29,465,0.2626,16,3,10
стали,стали,29,466,0.2626,7,7,15
своему,своему,29,467,0.2626,11,7,11
гостиной,гостиной,29,468,0.2626,23,0,6
три,три,29,469,0.2626,8,9,12
cher,cher,29,470,0.2626,18,4,7
понял,понял,29,471,0.2626,13,7,9
такое,такое,29,472,0.2626,10,6,13
однако,однако,29,473,0.2626,7,12,10
ясно,ясно,29,474,0.2626,6,7,16
андрею,андрею,29,475,0.2626,6,15,8
таки,таки,29,476,0.2626,9,8,12
минуты,минуты,29,477,0.2626,17,3,9
полка,полка,29,478,0.2626,3,12,14
желая,желая,29,479,0.2626,2,13,14
сердито,сердито,29,480,0.2626,5,13,11
оглянулся,оглянулся,29,481,0.2626,6,15,8
prince,prince,28,482,0.2535,17,5,6
свете,свете,28,483,0.2535,14,4,10
наш,наш,28,484,0.2535,5,7,16
каждый,каждый,28,485,0.2535,10,9,9
сторону,сторону,28,486,0.2535,6,14,8
лучше,лучше,28,487,0.2535,8,10,10
положение,положение,28,488,0.2535,12,4,12
увидав,увидав,28,489,0.2535,3,7,18
долго,долго,28,490,0.2535,11,3,14
шел,шел,28,491,0.2535,9,13,6
лошадей,лошадей,28,492,0.2535,0,20,8
багратиона,багратиона,28,493,0.2535,0,20,8
bien,bien,27,494,0.2445,20,1,6
moi,moi,27,495,0.2445,20,1,6
рад,рад,27,496,0.2445,13,2,12
пор,пор,27,497,0.2445,10,7,10
часто,часто,27,498,0.2445,11,8,8
брат,брат,27,499,0.2445,10,11,6
действительно,действительно,27,500,0.2445,7,9,11
дома,дома,27,501,0.2445,11,6,10
ноги,ноги,27,502,0.2445,9,12,6
молодого,молодого,27,503,0.2445,14,4,9
дорогу,дорогу,27,504,0.2445,5,15,7
одной,одной,27,505,0.2445,12,7,8
слезы,слезы,27,506,0.2445,9,2,16
деле,деле,27,507,0.2445,6,12,9
должно,должно,27,508,0.2445,9,8,10
невольно,невольно,27,509,0.2445,5,13,9
такие,такие,27,510,0.2445,15,4,8
отчего,отчего,27,511,0.2445,10,6,11
армию,армию,27,512,0.2445,4,15,8
стороны,стороны,27,513,0.2445,7,9,11
верно,верно,27,514,0.2445,9,4,14
могли,могли,27,515,0.2445,5,14,8
батюшка,батюшка,27,516,0.2445,10,8,9
денисова,денисова,27,517,0.2445,0,23,4
j,j,26,518,0.2354,20,1,5
понимаю,понимаю,26,519,0.2354,15,6,5
votre,votre,26,520,0.2354,18,2,6
вечера,вечера,26,521,0.2354,4,8,14
приехал,приехал,26,522,0.2354,12,7,7
генералу,генералу,26,523,0.2354,1,16,9
тихо,тихо,26,524,0.2354,15,7,4
слышал,слышал,26,525,0.2354,5,7,14
женщины,женщины,26,526,0.2354,13,2,11
кутузову,кутузову,26,527,0.2354,2,11,13
далеко,далеко,26,528,0.2354,7,10,9
сколько,сколько,26,529,0.2354,13,7,6
этому,этому,26,530,0.2354,5,5,16
столь,столь,26,531,0.2354,4,8,14
ближе,ближе,26,532,0.2354,7,12,7
ночь,ночь,26,533,0.2354,7,11,8
офицеры,офицеры,26,534,0.2354,2,11,13
хоть,хоть,26,535,0.2354,7,12,7
коли,коли,26,536,0.2354,6,11,9
та,та,26,537,0.2354,4,10,12
берг,берг,26,538,0.2354,8,0,18
долгоруков,долгоруков,26,539,0.2354,0,0,26
хотите,хотите,25,540,0.2264,15,5,5
анатоля,анатоля,25,541,0.2264,7,0,18
оба,оба,25,542,0.2264,10,7,8
вопросительно,вопросительно,25,543,0.2264,13,5,7
василья,василья,25,544,0.2264,4,0,21
вопрос,вопрос,25,545,0.2264,6,6,13
вокруг,вокруг,25,546,0.2264,7,7,11
дороге,дороге,25,547,0.2264,3,14,8
точно,точно,25,548,0.2264,5,11,9
адъютанта,адъютанта,25,549,0.2264,1,17,7
жерков,жерков,25,550,0.2264,0,25,0
сражение,сражение,25,551,0.2264,0,11,14
василия,василия,24,552,0.2173,18,0,6
наши,наши,24,553,0.2173,2,13,9
тоном,тоном,24,554,0.2173,11,7,6
наших,наших,24,555,0.2173,3,8,13
ai,ai,24,556,0.2173,20,1,3
ехать,ехать,24,557,0.2173,6,7,11
времени,времени,24,558,0.2173,9,5,10
вошел,вошел,24,559,0.2173,10,8,6
едва,едва,24,560,0.2173,6,8,10
близко,близко,24,561,0.2173,8,11,5
дать,дать,24,562,0.2173,5,14,5
пока,пока,24,563,0.2173,10,7,7
très,très,24,564,0.2173,21,1,2
болконского,болконского,24,565,0.2173,4,9,11
никого,никого,24,566,0.2173,12,7,5
сидели,сидели,24,567,0.2173,10,6,8
заметил,заметил,24,568,0.2173,8,4,12
подъехал,подъехал,24,569,0.2173,0,15,9
офицеров,офицеров,24,570,0.2173,0,14,10
дочь,дочь,23,571,0.2083,12,0,11
напротив,напротив,23,572,0.2083,9,7,7
иногда,иногда,23,573,0.2083,11,6,6
правда,правда,23,574,0.2083,5,8,10
père,père,23,575,0.2083,15,0,8
скоро,скоро,23,576,0.2083,11,6,6
легко,легко,23,577,0.2083,8,8,7
плечами,плечами,23,578,0.2083,12,7,4
которому,которому,23,579,0.2083,4,9,10
имел,имел,23,580,0.2083,4,10,9
вышла,вышла,23,581,0.2083,16,1,6
почувствовал,почувствовал,23,582,0.2083,6,10,7
именно,именно,23,583,0.2083,7,4,12
стало,стало,23,584,0.2083,6,6,11
жизнь,жизнь,23,585,0.2083,9,3,11
поспешно,поспешно,23,586,0.2083,1,12,10
знаешь,знаешь,23,587,0.2083,16,1,6
утра,утра,23,588,0.2083,5,6,12
зная,зная,23,589,0.2083,8,7,8
спокойно,спокойно,23,590,0.2083,8,8,7
увидал,увидал,23,591,0.2083,2,8,13
ехал,ехал,23,592,0.2083,1,8,14
армия,армия,23,593,0.2083,3,9,11
полкового,полкового,23,594,0.2083,0,21,2
тушина,тушина,23,595,0.2083,0,23,0
non,non,22,596,0.1992,9,6,7
разве,разве,22,597,0.1992,13,2,7
постоянно,постоянно,22,598,0.1992,5,5,12
должна,должна,22,599,0.1992,8,3,11
взгляд,взгляд,22,600,0.1992,7,2,13
люблю,люблю,22,601,0.1992,12,3,7
улыбнулась,улыбнулась,22,602,0.1992,15,1,6
богу,богу,22,603,0.1992,8,5,9
мать,мать,22,604,0.1992,16,2,4
стол,стол,22,605,0.1992,13,5,4
дочери,дочери,22,606,0.1992,9,0,13
ожидая,ожидая,22,607,0.1992,6,6,10
гостей,гостей,22,608,0.1992,15,0,7
ah,ah,22,609,0.1992,20,0,2
гостиную,гостиную,22,610,0.1992,14,0,8
слегка,слегка,22,611,0.1992,8,8,6
месте,месте,22,612,0.1992,2,10,10
начал,начал,22,613,0.1992,10,6,6
строго,строго,22,614,0.1992,12,8,2
повторил,повторил,22,615,0.1992,6,9,7
другое,другое,22,616,0.1992,9,5,8
встал,встал,22,617,0.1992,9,7,6
какая,какая,22,618,0.1992,7,4,11
мгновение,мгновение,22,619,0.1992,7,12,3
son,son,22,620,0.1992,18,2,2
ногу,ногу,22,621,0.1992,6,12,4
дня,дня,22,622,0.1992,2,8,12
моста,моста,22,623,0.1992,0,20,2
вечер,вечер,21,624,0.1901,15,0,6
pauvre,pauvre,21,625,0.1901,14,0,7
говоря,говоря,21,626,0.1901,6,8,7
хотелось,хотелось,21,627,0.1901,8,4,9
улыбка,улыбка,21,628,0.1901,12,7,2
павловны,павловны,21,629,0.1901,14,0,7
страх,страх,21,630,0.1901,10,4,7
россии,россии,21,631,0.1901,4,9,8
сидела,сидела,21,632,0.1901,11,2,8
стола,стола,21,633,0.1901,12,1,8
оглядываясь,оглядываясь,21,634,0.1901,7,10,4
спросила,спросила,21,635,0.1901,15,0,6
взглядом,взглядом,21,636,0.1901,11,2,8
деньги,деньги,21,637,0.1901,7,7,7
сердце,сердце,21,638,0.1901,6,4,11
людьми,людьми,21,639,0.1901,6,4,11
цепи,цепи,21,640,0.1901,1,12,8
положении,положении,21,641,0.1901,12,7,2
движение,движение,21,642,0.1901,2,7,12
