source,source_lower,target,target_lower,weight,context_level,chapters,num_chapters
Москву,москв,Растопчина,растопч,21,sentence,"25,26,46,47,71,73,78,83,91,92,93",11
Александра,александр,Наполеона,наполеон,20,sentence,"0,1,2,4,5,6,8,30",8
Москву,москв,Пьером,пьер,20,sentence,"7,25,47,51,53,54,78,86,94,96",10
Москву,москв,Наполеона,наполеон,17,sentence,"0,6,25,30,36,46,48,55,68,88,94",11
Наполеона,наполеон,России,росси,16,sentence,"0,1,5,17,30,48,54,57,58",9
Балашев,балаш,Наполеона,наполеон,16,sentence,"3,4,5,6",4
Москву,москв,Смоленской,смоленск,10,sentence,"30,34,36,48,54,68,70,73",8
Андрея,андре,Пьером,пьер,10,sentence,"53,54,60,77",4
Наташи,наташ,Соне,сон,10,sentence,"80,82,84,85,98",5
Андрей,андр,Кутузова,кутуз,9,sentence,"7,44,45",3
Барклаю,баркла,Толли,толл,9,sentence,"7,8,30,35,44,54,65",7
Можайск,можайск,Пьером,пьер,9,sentence,"47,49,54,76,77",5
Верещагин,верещаг,Растопчина,растопч,9,sentence,"79,92",2
Андрей,андр,Андрея,андре,8,sentence,"9,10,34,45,54,99",6
Москву,москв,Ростовых,ростовых,8,sentence,"15,16,18,80,83,94,97",7
Наташи,наташ,Пьером,пьер,8,sentence,"16,18,85,94,96",5
Кутузова,кутуз,Москву,москв,8,sentence,"70,71,72,87,91",5
Андрей,андр,Москву,москв,7,sentence,"7,31,34,37,54,99",6
Bourienne,bourienne,Княжна Марья,марь,7,sentence,"7,31,39",3
Москву,москв,России,росси,7,sentence,"8,26,30,46,73,84,91",7
Ильина,иль,Ростов,рост,7,sentence,"11,12,13,42,43",5
Европы,европ,России,росси,6,sentence,"0,26,28,70",4
Мюрат,мюрат,Наполеона,наполеон,6,sentence,"3,52,63,64",4
Даву,дав,Наполеона,наполеон,6,sentence,"3,4,56,63,64",5
Андрей,андр,Турцию,турци,6,sentence,"7,9,10",3
Наташи,наташ,Ростовых,ростовых,6,sentence,"15,16,18,26,94,99",6
Наполеона,наполеон,Пьером,пьер,6,sentence,"25,63,79,94,100",5
Барклай,барклай,Толли,толл,6,sentence,"30,48,65,72,84",5
Алпатыча,алпатыч,Дрон,дрон,6,sentence,"38,39,42",3
Граф Бенигсен,бенигсен,Кутузова,кутуз,6,sentence,"51,71,72",3
До Бородинского,бородинского,Москву,москв,6,sentence,"68,73,87,91",4
Балашеву,балашев,Наполеона,наполеон,5,sentence,"3,4,5",3
Балашев,балаш,Даву,дав,5,sentence,4,1
Александра,александр,Балашев,балаш,5,sentence,"4,5,6",3
Москву,москв,Петербурга,петербург,5,sentence,"5,6,7,36,70",5
Андрей,андр,Княжна Марья,марь,5,sentence,"7,37",2
Вольцоген,вольцоген,Пфуль,пфуль,5,sentence,"8,9,10",3
Ильиным,ильиным,Ростов,рост,5,sentence,"11,36,42,43",4
Москву,москв,Петю,пет,5,sentence,"15,80,84",3
Наташи,наташ,Петю,пет,5,sentence,"15,80,84",3
Москву,москв,Наташи,наташ,5,sentence,"15,80,94,98",4
Наполеона,наполеон,Смоленской,смоленск,5,sentence,"17,30,34,48,68",5
Москву,москв,Растопчиным,растопчиным,5,sentence,"25,46,47,86,91",5
Андрея,андре,Княжна Марья,марь,5,sentence,"31,33,39",3
Алпатыча,алпатыч,Смоленской,смоленск,5,sentence,"31,32,33,37",4
Лысые Горы,гор,Смоленской,смоленск,5,sentence,"33,34,44",3
Лаврушку,лаврушк,Наполеона,наполеон,5,sentence,"36,42",2
Княжна Марья,марь,Ростов,рост,5,sentence,"42,43",2
Андрея,андре,Кутузова,кутуз,5,sentence,"44,45",2
Бородинское,бородинско,Наполеона,наполеон,5,sentence,"48,57,58",3
Иосифа Алексеевича,алексеевич,Пьером,пьер,5,sentence,"86,94",2
Герасим,герасим,Пьером,пьер,5,sentence,"86,95,100",3
Наполеона,наполеон,Неману,неман,4,sentence,"1,2",2
Барклай,барклай,Граф Бенигсен,бенигсен,4,sentence,"5,8,9,30",4
Андрей,андр,Пьером,пьер,4,sentence,"7,53,54",3
Андрея,андре,России,росси,4,sentence,"7,37,45,99",4
Андрей,андр,Лысые Горы,гор,4,sentence,"7,34",2
Андрея,андре,Лысые Горы,гор,4,sentence,"7,33,34",3
Андрей,андр,Болконскому,болконском,4,sentence,"8,9,10,54",4
Лаврушку,лаврушк,Ростов,рост,4,sentence,"12,42,43",3
Марья Генриховна,генриховн,Ростов,рост,4,sentence,12,1
Пьером,пьер,Растопчина,растопч,4,sentence,"17,25,79",3
Пьером,пьер,Ростовых,ростовых,4,sentence,"17,18,86,94",4
Растопчина,растопч,России,росси,4,sentence,"25,73,91,92",4
Десалем,десал,Княжна Марья,марь,4,sentence,31,1
Михаил Иваныч,иваныч,Княжна Марья,марь,4,sentence,"31,39",2
Лысые Горы,гор,Лысых Горах,горах,4,sentence,"33,34,37,53",4
Алпатыча,алпатыч,Андрей,андр,4,sentence,"33,34",2
Андрея,андре,Москву,москв,4,sentence,"34,53,99",3
Билибина,билиб,Элен,элен,4,sentence,"35,75",2
Князь Василий,василий,Анны Павловны,павловн,4,sentence,35,1
Андрей,андр,Наташи,наташ,4,sentence,"44,98,99",3
Бонапарте,бонапарт,Москву,москв,4,sentence,"46,73,92,93",4
Ах,ах,Пьером,пьер,4,sentence,"46,52,76,86",4
Синей Бороде,бород,Смоленской,смоленск,4,sentence,"48,70",2
Кутузова,кутуз,Кутузовым,кутузовым,4,sentence,"51,65,91",3
Граф Бенигсен,бенигсен,Пьером,пьер,4,sentence,"51,52",2
Empereur,empereur,Vive,vive,4,sentence,"55,58",2
Калужскую,калужску,Москву,москв,4,sentence,"70,87",2
Кутузова,кутуз,Растопчина,растопч,4,sentence,"91,92",2
Восток,восток,Запада,запад,3,sentence,0,1
Европы,европ,Наполеона,наполеон,3,sentence,"0,6,94",3
Александра,александр,Англии,англи,3,sentence,"0,5",2
