name,name_lower,occurrences,first_offset,chapters,num_chapters,context_sample
Пьером,пьер,375,63082,"7,16,17,18,24,25,27,28,45,46,48,49,50,51,52,53,59,60,61,62,64,74,75,76,77,78,84,85,93,94,95,99,100",33,"я своего в Москве с Пьером, князь Андрей уехал"
Москву,москв,199,12454,"0,2,5,6,7,8,15,16,17,18,24,25,27,29,30,32,33,35,36,37,42,45,46,47,48,49,50,52,53,54,57,66,67,69,70,71,72,76,77,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,95,96,97,98,99,100",60,"то Наполеон пошел в Москву потому, что он захо"
Наполеона,наполеон,192,3973,"0,1,2,3,4,5,6,7,8,9,10,17,18,24,29,32,33,34,35,41,43,45,46,47,49,51,52,53,54,55,56,57,58,62,63,66,67,68,70,72,73,78,86,87,93,95,99,100",48,"истемы, властолюбие Наполеона, твердость Александ"
Наташи,наташ,123,108999,"11,15,16,17,18,25,43,53,66,79,80,81,82,83,84,93,95,97,98",19,вещая его о болезни Наташи и о разрыве с князе
Но,но,115,35137,"3,4,5,6,7,8,10,11,18,25,28,30,31,32,33,34,35,36,37,39,42,43,44,45,46,47,48,50,52,54,57,60,61,62,64,65,66,67,68,69,71,73,74,75,77,78,81,82,83,84,85,86,87,88,89,91,93,94,95,97,98,99,100",63,"sieur
de Balachoff. Но royauté oblige:579 "
Андрей,андр,97,63096,"7,8,9,10,30,32,33,36,38,43,44,52,53,65,66,78,84,97,98,100",20,"кве с Пьером, князь Андрей уехал в Петербург
п"
Кутузова,кутуз,97,63544,"7,34,35,43,44,47,49,50,53,59,64,69,70,71,86,90,91,100",18,"язь Андрей встретил
Кутузова, своего прежнего, в"
Андрея,андре,91,64176,"7,8,9,10,11,17,30,31,32,33,36,37,38,42,43,44,52,53,59,64,65,66,71,76,84,97,98",27,"после приезда князя Андрея в Турецкую армию, в"
Ну,ну,81,72453,"7,12,18,25,30,31,33,34,35,42,43,44,45,46,49,50,52,53,54,60,65,66,75,77,78,80,82,83,84,90,93,95,97,100",34,"-- Ну, рассказывай же, --"
Марья,марь,80,68848,"7,30,32,36,37,38,39,40,41,42,46,52,66,79",14,"к другому -- княжна Марья, Десаль, Николушка "
