name,name_lower,occurrences,first_offset,chapters,num_chapters,context_sample
Алпатыча,алпатыч,79,228344,"30,31,32,33,36,37,38,41,42",9,-- А Алпатыча посылают в Смоленск
Чт,чт,73,17969,"1,5,7,10,15,16,25,26,27,30,32,33,38,40,42,43,44,45,46,48,50,52,58,59,60,63,66,67,75,77,79,80,82,83,84,88,89,90,91,92,97,98,100",43,-- Чтò ? Чтò он сказал?--
Ростов,рост,61,86429,"8,11,12,13,14,26,29,35,41,42,45",11,"тно, как
его обожал Ростов в 1805-м году, и ви"
Растопчина,растопч,59,149625,"17,24,25,28,45,46,70,72,77,78,79,80,82,90,91,92,100",17,"он достанет у графа
Растопчина."
Балашев,балаш,56,23772,"2,3,4,5,6,8,29",7,"то генерал-адъютант Балашев, одно из
ближайших "
России,росси,54,3171,"0,1,2,5,6,7,8,17,24,25,27,29,33,34,36,42,44,45,47,52,53,56,57,66,69,70,71,72,83,90,91,98",32," Восток, к
границам России, к которым точно та"
Смоленской,смоленск,45,5852,"0,17,29,30,31,32,33,35,36,43,47,49,53,54,66,67,69,72,90,100",20,"ли и разоряли людей Смоленской и Московской
губерн"
Петю,пет,45,115807,"11,15,16,25,26,27,28,79,80,81,83,84,97",13,"тей? Я бы не только Петю-брата
не повел бы, "
Ах,ах,40,176785,"25,30,31,38,45,46,48,49,51,53,60,75,77,78,80,82,83,84,85,89,93,97,98,100",24,"-- Ах да, твое дело. В гу"
Александра,александр,39,3994,"0,1,2,3,4,5,6,8,29,86,100",11,"аполеона, твердость Александра, ошибки дипломатов
"
Соне,сон,38,109361,"11,15,17,25,79,80,81,83,84,97",10,полнить их желание. Соне он писал отдельно.
Ежели,ежел,35,47944,"5,6,7,8,11,25,27,29,33,36,38,42,44,45,46,47,48,53,57,64,65,73,74,76,78,83,90,92,98,100",30,рикнул Наполеон. -- Ежели бы вы дали мне Пете
Князь Андрей,князь андр,34,72489,"7,8,9,10,32,33,43,44,52,53,65,66,98",13,"же, -- говорил сын. Князь Андрей, не отвечая ему,
сн"
Богу,бог,34,147229,"16,17,25,33,38,39,43,44,48,60,64,73,76,78,82,84,98,100",18,"верить и отдаваться Богу, Который в эти мину"
Княжна Марья,княжн марь,33,74753,"7,30,31,36,38,39,41",7,Княжна Марья умоляла брата подож
Ростовых,ростовых,31,135560,"15,16,17,18,25,26,45,79,80,81,82,83,84,85,89,93,96,98",18,"ву, и всё семейство
Ростовых перебралось от Марь"
Бенигсена,бенигсен,30,22222,"2,5,8,9,10,29,30,49,50,51,70,71",12,"городном доме графа
Бенигсена."
Элен,элен,30,23201,"2,34,73,74,100",5,"ночи еще танцовали. Элен, не имевшая достойн"
Дрон,дрон,28,303544,"37,38,39,41,42",5,"м управлял староста Дрон, которого старый кн"
Bourienne,bourienne,24,67481,"7,30,36,38",4,"е годы своей жизни.
Bourienne была та же радостно"
Ильина,иль,24,113731,"11,12,13,14,41,42",6,"на молодого офицера Ильина, который
жался окол"
Мавра Кузьминишна,мавр кузьминишн,24,623854,"80,81,84,89",4," ключница, старушка Мавра Кузьминишна, отделилась от толп"
Петербурга,петербург,21,21005,"2,5,6,7,8,29,34,35,46,53,69,73,74,79,100",15,"мператор приехал из Петербурга. Общего плана
дейст"
Только,только,21,37409,"4,12,16,17,24,25,27,33,39,49,63,75,76,87,91,97,98,100",18,"лаве правительства.
Только этою необходимостью"
Граф,граф,21,174675,"25,45,46,48,50,72,77,79,80,82,83,84,89,91,96,97",16,"-- Граф! что это дурно, что"
Eh,eh,20,34730,"3,6,34,35,53,58,63,71,73,74,78,94,95,99",14,"-- Eh bien, général, tout"
Верещагин,верещаг,20,606524,"77,78,90,91",4,". е. он трактирщик, Верещагин. -- Вы слышали,
мож"
Герасим,герасим,20,660719,"85,93,94,95,99",5," подошел к калитке. Герасим, тот самый желтый
б"
Дуняша,дуняш,19,296545,"36,38,39,40,41,42,80,83,84",9,"лась и увидала, что Дуняша, ее горничная, очев"
Мюрат,мюрат,18,32861,"3,4,51,62,63,64,92",7,"йствительно это был Мюрат, называемый теперь
"
Барклаю,баркла,18,66565,"7,8,29,34,43,53,64,71",8,"дал ему поручение к
Барклаю-де-Толли."
Можайск,можайск,18,381344,"46,48,49,53,55,67,75,76,77,93",10,"то он в ночь едет в
Можайск к войску, и чтобы т"
Moscou,moscou,17,14880,"1,6,35,45,54,66,86,87,90,95",10,"редине которых была Moscou la ville sainte,566"
Empereur,empereur,17,15869,"1,3,4,5,6,34,54,57,95",9,"… Le voilà!… Vive l'Empereur! Les voilà donc
les"
Государь,государь,17,21864,"2,10,28,46,63,100",6,"была принята всеми. Государь
изъявил согласие. Г"
Балашеву,балашев,17,24078,"2,3,4,5,6",5," даме и
обратился к Балашеву. Только что Балашев"
Барклай,барклай,17,51206,"5,8,9,29,43,47,64,71",8,"войны, ни для мира! Барклай, говорят, дельнее
и"
Ростову,ростов,17,63973,"7,11,14,15,17,24,35,41,45,46,79,84,96",13,"ометирующим графиню Ростову, и потому он искал "
Одни,одн,17,75847,"7,25,26,33,43,44,46,48,53,65,70,71,82,86,97,99",16,рь всё рассыпалось. Одни бессмысленные явлен
Вольцоген,вольцоген,17,79346,"8,9,10,33,53,64",6,"сардинский выходец,
Вольцоген и многие другие. Хо"
Марья Генриховна,марь генриховн,17,116578,"11,12",2,". Хоть посушимся, и Марья Генриховна там."
На,на,17,238444,"32,36,42,46,50,73,76,80,81,82,89,91,93",13,жавший губернатору. На крыльце Яков Алпаты
Боссе,босс,17,442613,"54,58,63,100",4," не видит господина Боссе, и подозвал к себе "
По,по,16,17672,"1,3,25,32,33,34,46,50,55,59,60,83,85,99,100",15,лежавшее на берегу. По бессловесному знаку
Ведь,ведь,16,139613,"15,38,46,50,53,60,82,83,84,98,100",11,"ринимать лекарство! Ведь нельзя шутить этим,"
Кутузову,кутузов,16,271144,"34,43,44,47,50,64,72,91,100",9,"у прилично ли графу
Кутузову, самому старому ген"
Бородинского,бородинского,16,387684,"47,51,54,62,64,67,72,75,79,86,90,93,98",13,"е укрепляли позиции Бородинского поля влево под
прям"
Неману,неман,15,14672,"1,2,3,5,30",5," коляске подъехал к Неману, и
с тем чтоб осмот"
Вильне,вильн,15,20868,"2,4,5,6,8,11,69,73,100",9,"ее месяца уже жил в Вильне, делая смотры
и ман"
Борис,борис,15,23016,"2,50,59",3," подписке для бала. Борис теперь был
богатый "
Бонапарте,бонапарт,15,83311,"8,10,34,35,37,45,72,91,92,93,100",11, с таким гением как Бонапарте (его опять называли
Француз,француз,15,96040,"9,14,31,41,53,61,92,93,94,95,100",11,"совершенной
истины. Француз бывает самоуверен п"
Лаврушку,лаврушк,15,116992,"11,12,35,41,42",5,"щ, крикнул за собой Лаврушку с вещами, и пошел с"
Несколько,несколько,15,122611,"12,26,27,33,35,43,64,66,88,92,95,96",12,"лалось в кибиточке. Несколько раз
Ростов, заверты"
Отчего,отчего,15,183720,"25,38,39,45,53,65,82",7,-- Отчего вы уезжаете? Отчего
Ферапонтова,ферапонт,15,236528,32,1,"м дворе, у дворника
Ферапонтова, у которого он уже "
Толли,толл,14,66576,"7,8,29,34,43,47,53,64,71,83",10,"учение к
Барклаю-де-Толли."
Пфуля,пфул,14,81028,"8,9,10,29",4, передававший мысли Пфуля в более доступной ф
Одно,одно,14,84566,"8,30,33,36,37,43,45,53,60,66,76,89,96",13,", оставим
и Дриссу. Одно, чтò нам остается у"
Жюли,жюл,14,221880,"30,45,46",3,"несмотря на то, что Жюли, теперь княгиня
Дру"
Mais,mais,14,272943,"34,58,73,74,78,86,95",7,-- Mais on dit qu'il est av
Еще,ещ,13,45305,"5,14,25,32,45,46,65,76,79,82,100",11,"-- Еще нет, -- вставил Нап"
Лицо,лицо,13,47540,"5,9,12,30,36,43,60,89,91,93,95,100",12,"ся
против Балашева. Лицо его как будто окаме"
Ваша,ваш,13,52052,"5,38,48,65,75,88,90,91,100",9,польских провинций. Ваша армия ропщет.
Багратиона,багратион,13,78451,"8,29,32,33,47,60,62,64",8,"2-я под начальством
Багратиона, 3-я под начальство"
Паулучи,паулуч,13,79315,"8,9,10,29",4,"и, генерал-адъютант Паулучи -- сардинский выход"
Один,од,13,87598,"8,26,27,28,32,34,48,49,51,89,92,94,100",13,"ыло в другое время. Один, не желая только по"
Мне,мн,13,183593,"25,30,36,38,44,46,75,76,83,89,100",11,"-- Да, я забыл… Мне непременно надо дом"
Яков Алпатыч,як алпатыч,13,235133,"32,37,38,39,41,42",6," что… вы вернитесь. Яков Алпатыч; ради Христа, нас
п"
Тимохин,тимох,13,263380,"33,52,53,65,97,98",6,"с очистим вам. -- И Тимохин, еще неодетый, побе"
Анны Павловны,анн павловн,13,267567,34,1,"елывали их, а салон Анны Павловны и салон Элен были т"
Париже,париж,12,13701,"1,54,58,66,68,100",6,"смотря на то, что в Париже оставалась другая с"
Бертье,берть,12,19472,"1,6,35,63",4,"
и, подозвав к себе Бертье, стал ходить с ним "
Sire,sire,12,34875,"3,5,10,54,58,63,66",7,"-- Sire, -- отвечал Балашев"
Даву,дав,12,36806,"3,4,55,62,63",5,е пехотного корпуса Даву опять так же задерж
Пфуль,пфуль,12,51341,"5,8,9,10",4,"все эти придворные! Пфуль предлагает, Армфель"
Je,je,12,55997,"5,45,46,50,54,71,73,94,95,100",10,о высокие качества. Je ne vous retiens plu
Лысых Горах,лысых горах,12,68922,"7,32,33,36,40,44,52",7,"мя его пребывания в Лысых Горах, все домашние обеда"
Денисова,денис,12,152934,"17,35,43,76",4,"а вспомнила брата и Денисова. Когда
молились за "
Его,его,12,156134,"17,26,33,37,38,46,65,71,100",9,"вича; помяни правду Его и кротость, воздажд"
Берг,берг,12,252225,"32,82,83",3,"ответите, -- кричал Берг, который
был теперь"
Бородина,бород,12,276715,"35,47,49,59,62,64,67,69,70",9,"ию
обстоятельств до Бородина, в 112 верстах от М"
Бородинское,бородинско,12,383338,"47,56,57,69",4,"ны, 26-го произошло
Бородинское сражение."
Колоче,колоч,12,389411,"47,49,55,59,60,62",6,"ыла избрана по реке Колоче,
пересекающей больш"
Европы,европ,11,3031,"0,5,6,25,27,54,68,69,93",9,"очение сил
западной Европы, и в 1812 году силы"
Хотя,хот,11,32910,"3,8,24,30,33,36,37,44,45,98",10,олитанским королем. Хотя и было совершенно н
Кроме,кром,11,43354,"5,8,24,27,93,95,99,100",8,"
сорокалетние люди. Кроме того видно было, чт"
Богучарове,богучаров,11,64756,"7,36,37,38,41,42,100",7,"яли его уединение в Богучарове, а потом в Швейцари"
Лысые Горы,лысы гор,11,66670,"7,32,33,37,43,52",6,"язь
Андрей заехал в Лысые Горы, которые были на са"
Болконского,болконского,11,76941,"8,9,10,17,32,41,43,44,50,98",10,"хо и холодно принял Болконского, и сказал
своим нем"
Надо,надо,11,102234,"10,15,33,49,53,63,80,81,100",9," Нечего поправлять. Надо исполнять в
точност"
Доктора,доктор,11,136076,"15,36,66,98",4,"м, чтобы
помочь ей. Доктора ездили к Наташе и о"
Теперь,теперь,11,178779,"25,31,34,37,43,50,63,77,78,100",10,рила по-французcки. Теперь не время.
Графиня,графин,11,179947,"25,80,81,82,84,96,97,100",8,"ся не оглядываться. Графиня
неодобрительно и се"
Два,дв,11,190603,"26,41,42,66,83,88,91,92,99",9,"го не
понимал Петя. Два молодых мещанина шу"
Никто,никто,11,257564,"33,39,60,68,82,85,89,96,97",9,л Тараса-садовника. Никто не откликнулся. Обо
Богучарово,богучарово,11,258610,"33,36,37,38,41,42",6,"гое было отвезено в Богучарово. Хлеб, до
100 четве"
Карп,карп,11,302240,"37,41,42",3,"нною подводой мужик Карп, имевший большое вл"
Макар Алексеичем,макар алексеич,11,737572,"93,94",2,"к, шедшие следом за Макар Алексеичем, остановили его в
с"
Нельзя,нельз,10,5662,"0,12,16,36,45,60,72,76,81,98",10,"денбургский обижен. Нельзя
понять, какую связь"
Аракчеева,аракче,10,24353,"2,4,8,34",4," взволнованное
лицо Аракчеева, в то время как гос"
За,за,10,42347,"5,14,32,34,46,49,80,83,100",9," минуты две ожидая. За дверью послышались
"
Ah,ah,10,49974,"5,58,74,94,95,99,100",7,"it dû à mon amitié. Ah! quel beau règne,
q"
Уже,уж,10,51932,"5,7,13,14,17,46,47,74,99",9,-- Уже неделя как началась
Ему,ем,10,60239,"6,9,17,27,33,36,54,64,69,77",10," этом расположении.
Ему казалось, что он ок"
Десаль,десаль,10,67732,"7,30,31,32,36",5,"ейцарии воспитатель Десаль был одет в сюртук
р"
Тихона,тихон,10,71752,"7,31,36,38,40",5,"е m-lle Bourienne и Тихона, и
спрашивал нескол"
Дриссы,дрисс,10,76175,"8,11,69,100",4,крепленном лагере у Дриссы; войска второй арми
Какой,как,10,84998,"8,11,25,32,33,39,45,60,66",9,"его. Они говорили: ""Какой
он ни есть (всегда "
Ильиным,ильиным,10,113307,"11,12,13,35,41,42",6,"им молодым офицером Ильиным сидел под
сгороженн"
Офицер,офицер,10,113363,"11,49,51,53,60,82,88,92",8,рую руку шалашиком. Офицер их полка с длинными
Раевского,раевского,10,113513,"11,30,49,51,60,75,96",7,аба. Слышали подвиг Раевского? -- И офицер расска
Тебе,теб,10,156000,"17,49,75,82,88,89",6,слыши нас молящихся Тебе: укрепи силою Твоею
Михаил Иваныч,михаил иваныч,10,225137,"30,31,39,53",4,"нул он. -- Поди ты, Михаил Иваныч!"
Il,il,10,441755,"54,74,86,91,95,100",6,"слова адъютанта. -- Il se font
démolir. Ta"
Ничего,ничего,9,20900,"2,8,17,30,37,45,84,98",8,"я смотры
и маневры. Ничего не было готово для "
Франции,франци,9,35634,"3,5,34,56,100",5,"орблено достоинство Франции. Балашев сказал, чт"
Во,во,9,46312,"5,6,7,11,27,37,46,50,74",9,"де, начал говорить.
Во время последующей р"
Другой,друг,9,87852,"8,45,46,48,49,54,60,99,100",9,"и
угодить государю. Другой, желающий приобрест"
Однако,однако,9,116191,"11,32,44,53,64,100",6,"-- Однако, мочи нет, -- сказа"
Schoss,schoss,9,141430,"15,81,82,84,97",5,", из которых madame Schoss, охотница до этих
в"
Безухов,безух,9,143834,"16,28,45,78,79,84",6,"бращался с нею граф Безухов. Наташа
бессознател"
Наши,наш,9,177206,"25,33,41,60,61,66,83,100",8,-- Наши опять отступили. По
Кремля,кремл,9,185717,"26,80,85,88,92",5,"щим и
прибывающим у Кремля народом, тем больше"
Господа,господ,9,204955,"27,28,37,60,71,80,81",7,"ольте мне говорить…
Господа, вы меня давите!.."
Князь,князь,9,224850,"30,31,32,33,65,84",6,"- сказал Десаль. -- Князь в состоянии
знать…"
Эх,эх,9,238789,"32,42,60,65,81,88,91",7,"ьство после
этого?… Эх, перевешал бы разбо"
Солдаты,солдат,9,250311,"32,53,58,60,62,75,92,94,100",9,к посмотреть пожар. Солдаты шныряли беспрестанн
Василий,василий,9,269998,34,1,"зда государя, князь Василий разговорился у Анны"
Бородинском,бородинск,9,386813,"47,57,74,79,98",5,явшую на позиции на Бородинском поле.
Васильич,васильич,9,631470,"81,82,83,84,89",5,"ми же, Петька,
жми! Васильич, нажимай! -- кричал"
Dieu,dieu,8,15845,"1,7,35,73,74,95",6," èa
chauffe… Nom de Dieu… Le voilà!… Vive l'"
Адъютант,адъютант,8,18467,"1,4,44,50,54,60,63",7," глазах императора. Адъютант сказал,
что вероятн"
Напротив,напротив,8,52075,"5,9,17,25,42,46,100",7,"-- Напротив, ваше величество, -"
Из,из,8,56107,"5,9,32,43,48,73",6,"шел быстро к двери.
Из приемной всё бросил"
Между,межд,8,57672,"6,13,32,37,49,76,100",7,ваться его успехам. Между прочим разговором о
Ермолов,ермол,8,82602,"8,43,61,70,71,88",6,"инавший
возвышаться Ермолов и другие. В это вре"
Витебск,витебск,8,84539,"8,13,30,31,54",5,"ли Вильну, оставили Витебск, оставим
и Дриссу. "
Николай,николай,8,109136,"11,14,42,79",4,"у и приехать домой. Николай, получив это письмо"
Народ,народ,8,192571,"26,32,72,91,99",5,-- Народ всё еще надеется ув
Илья Андреич,иль андреич,8,194264,"26,27,28,79,82",5,"е сдавшись, но граф Илья Андреич поехал узнавать, ка"
Мужики,мужик,8,258773,"33,37,38,42,65,71,80",7,"скошен --
войсками. Мужики разорены, некоторые"
Кутузовым,кутузовым,8,274730,"34,44,50,64,71,90,100",7," будто бы сказанные
Кутузовым государю: ""Я не мог"
Дронушкой,дронушк,8,303577,"37,38,39",3,"о старый князь
звал Дронушкой."
Шевардинский,шевардинский,8,388111,"47,49,51",3,"вардинского редута:
Шевардинский редут, впереди той "
Бородино,бородино,8,401197,"49,51,55,60,62",5, ниже его (это было Бородино). Дорога переходила
Польши,польш,7,34018,"3,8,11,30,95",5,"и зачем, по дорогам Польши."
Говорят,говорят,7,49009,"5,34,39,43,84,100",6,"-- Говорят, вы заключили мир с"
Чего,чего,7,60922,"6,32,33,36,60,100",6,"должал Наполеон. --
Чего я не могу понять, -"
Турцию,турци,7,63802,"7,9,10,44,70",5,"й квартиры, уехал в Турцию."
Батюшка,батюшк,7,71162,"7,32,41,84,93,99",6,"-- Батюшка, я не хотел быть су"
Люди,люд,7,82239,"8,68,69,91",4,"и другой крайности. Люди этой партии
были те"
Аустерлицем,аустерлиц,7,106555,"10,44,52,53,54,63",6," перед 8-ю, как под
Аустерлицем. -- Какая же может "
Для,дл,7,111454,"11,68,77,92,94,99,100",7,"ей в
главном штабе. Для гусар же Павлоградс"
Несмотря,несмотр,7,145498,"16,26,45,48,49,79,95",7,"илась за эту
мысль. Несмотря на запрещение докто"
Ростовым,ростовым,7,170496,"24,42,81,82,83,93",6,"али молитву, обещал
Ростовым привезти им от граф"
Наконец,наконец,7,191548,"26,49,51,78,84,100",6,"ушки, бежали
назад. Наконец вышли еще четверо м"
Толпа,толп,7,203752,"27,46,61,88,89,91",6,"стоном, видал Пьер. Толпа подошла к
столу, не"
Хорошо,хорошо,7,238627,"32,34,77,81,92,100",6,"ить, -- говорил он. Хорошо кто один. Одна
голо"
Какое,како,7,243328,"32,42,50,83,95,100",6,"осил Ферапонтов. -- Какое
решение вышло?"
Билибина,билиб,7,269354,"34,74,100",3," царствовало
мнение Билибина, бывшего теперь в П"
Vous,vous,7,274633,"34,64,74,94,95",5,ч не был при армии. Vous savez ce qu'il a di
Богучарова,богучар,7,287871,"36,37,41,42",4," в 15-ти верстах от
Богучарова, была разграблена у"
Можно,можно,7,290358,"36,60,80,81,83,84",6,"ор. -- Я вас искал. Можно кое-что
понять из т"
Некоторые,некоторы,7,338355,"42,45,51,65,67,71",6,"ательство и раздор. Некоторые мужики стали
говори"
Бородиным,бородиным,7,390559,"47,55,60,62,67,69,100",7,"ицей, Семеновским и Бородиным (в это поле, не име"
Paris,paris,7,443629,"54,66,95",3,"-- Sire, tout Paris regrette votre abse"
Фриана,фриан,7,450216,"55,63",2,"ами дивизии Дессè и Фриана,
двинется вперед, о"
Рапп,рапп,7,461981,"58,100",2,"Sire,699 -- отвечал Рапп."
Семеновского,семеновского,7,490195,"61,63,64,65,67",5,"собенности налево у Семеновского, кипело что-то в ды"
Московской,московск,6,5865,"0,10,27,32,79",5," людей Смоленской и Московской
губерний, и были уб"
Вислу,висл,6,6545,"0,5,100",3,ести свои войска за Вислу и отдать назад герц
Было,было,6,18896,"1,13,26,82,83,91",6,"в поскакали за ним.
Было холодно и жутко на "
Votre Majest,votre majest,6,27311,"2,3,54",3," engagements envers Votre Majesté, ses troupes
ont f"
Штейнов,штейн,6,50538,"5,6,8,9,10",5,"-
Он призвал к себе Штейнов, Армфельдтов, Бениг"
Винцингероде,винцингерод,6,50572,"5,6,8,9,29",5,"льдтов, Бенигсенов, Винцингероде. Штейн
-- прогнанны"
Курагина,кураг,6,63269,"7,17,74",3,"бходимым
встретить. Курагина, о котором он освед"
Болконский,болконский,6,66440,"7,25,43,79",4,"которому
уже надоел Болконский своею деятельностью"
Болконскому,болконском,6,77225,"8,9,10,43,53",5,"вестие было приятно Болконскому. Интерес
центра про"
Армфельд,армфельд,6,79223,"8,9,10",3,"й прусский
министр, Армфельд -- шведский генерал"
Или,ил,6,102031,"10,41,85,88,100",5,ю с открытым тылом. Или атака von diesem It
Раевский,раевский,6,115177,"11,64,71",3," теснота, что ежели Раевский и вывел
сыновей, то"
Кремль,кремль,6,186083,"26,92,99,100",4,"скою целью он шел в Кремль, так прижали его к
"
Много,много,6,202515,"27,35,39,61,100",5,он не мог говорить. Много голосов кричало и г
Десалем,десал,6,221149,"30,36",2,"и и разговаривала с
Десалем; другую часть дня о"
Старый,старый,6,225414,"30,33,37,42,81,100",6,ча переглядывались. Старый князь вернулся посп
Христа,христ,6,235152,"32,37,41,54,73,91",6," Яков Алпатыч; ради Христа, нас
пожалей, -- пр"
Увидав,увидав,6,248414,"32,33,36,41,48",5,"очадцы Ферапонтова. Увидав дым и
даже огни пож"
Fran,fran,6,279785,"35,66,92,94,95",5,"nt trois
jours, les Franèais la gagneraient,"
Слушаю,слуша,6,306378,"37,66,85,100",4,"-- Слушаю, -- отвечал Дрон, н"
Куда,куд,6,380645,"46,60,75,83,89",5,-- Куда ж ты едешь?-- крикн
Шевардине,шевардин,6,381952,"46,47,49,58,63",5,"ние 24-го числа
при Шевардине.) На рассвете Пьер "
Бородине,бородин,6,383425,"47,49,59,67",4,"при Шевардине и при
Бородине? Для чего было дано"
Шевардинского,шевардинского,6,388089,"47,55,62",3,"ом служит положение Шевардинского редута:
Шевардински"
Кайсаров,кайсар,6,411073,"50,64,71",3,"емя к Пьеру подошел Кайсаров, адъютант Кутузова."
Долохов,долох,6,413177,"50,52,76",3, ополченец. Это был Долохов.
Может,может,6,413852,"50,77,83,100",4," вспомнить обо мне… Может быть, я пригожусь
в"
Oui,oui,6,442026,"54,58,94,95",4,"-- Oui, Sire,681 -- и адъю"
Москвою,москво,6,446828,"54,57,79,86,96,100",6,"в великой битве под Москвою!"""
Ахиллес,ахиллес,6,544459,68,1,"остоящий в том, что Ахиллес
никогда не догонит "
Поклонной,поклонн,6,559157,"70,86,90",3,"Кутузов на Поклонной горе, в шести верст"
Англии,англи,5,4426,"0,5",2," войны были интриги Англии (как он и
говорил э"
Чем,чем,5,6093,"0,8,44,79",4,ислимом количестве. Чем больше мы углубляем
Стало,стало,5,7451,"0,41,57",3,"о не
могло бы быть. Стало быть, причины эти в"
Пруссию,прусси,5,11121,"0,3,5,30,53",5," и
движение войск в Пруссию, предпринятое (как "
Oh,oh,5,15794,"1,95",2,emin cette fois-ci. Oh! quand il s'en mêle
Le,le,5,32817,"3,34,35,92",4,"ительно прошептал: ""Le
roi de Naples"".571 "
Видно,видно,5,44024,"5,6,10,33,66",5," личность Балашева.
Видно было, что только то"
Un,un,5,51726,"5,35,66,78,99",5,"его
совершающегося. Un souverain ne doit ê"
Аустерлицком,аустерлицк,5,64665,"7,8,10,11,57",5,"н глядел на небо
на Аустерлицком поле, которые он лю"
Риме,рим,5,64790,"7,54,100",3,"потом в Швейцарии и Риме; но он
даже боялся "
Николушка,николушк,5,68172,"7,30,36",3,"в мпре. Один только Николушка
вырос, переменился,"
Какая,кака,5,71108,"7,18,58,68,90",5,"-- Какая же подруга, голубчи"
Там,там,5,92926,"9,45,49,77,89",5,"едка
по-французски. Там, в бывшей гостиной,"
Толь,толь,5,93384,"9,10,71",3,"им подданным, Мишо, Толь, вовсе не военный
ч"
Оставьте,оставьт,5,118788,"12,36,83,100",4,"-- Оставьте его, -- говорила Ма"
Через,через,5,126148,"13,32,38,51,60",5,",
стоявшей над ним. Через несколько минут сол"
Стой,ст,5,126735,"13,88,90,91,92",5,"-- Стой, равняйся! -- послы"
Впереди,вперед,5,127152,"13,14,49,51,92",5,"изонте,
наши пушки. Впереди за лощиной видны бы"
Был,был,5,149727,"17,73,74,76,82",5,"ерковь Разумовских. Был жаркий, июльский де"
Твоей,тво,5,154267,17,1,"же мой,
предаю себя Твоей воле"", думала она. "
Растопчину,растопчин,5,170646,"24,25,28,46,90",5,"тру,
заехав к графу Растопчину, Пьер у него застал"
Растопчиным,растопчиным,5,171697,"24,45,46,85,90",5,"Разговор с графом Растопчиным, его тон озабоченно"
Петр Кирилыч,петр кирилыч,5,176718,"25,50,84,95",4,"-- Ну что мое дело, Петр Кирилыч, ради Бога! Одна на"
Завтра,завтр,5,177045,"25,77,84,100",4,-- отвечал Пьер. -- Завтра государь будет… Нео
Шиншин,шинш,5,178330,"25,45",2,"гиевского
кавалера, Шиншин рассказывал городск"
Отец,отец,5,187925,"26,32,52,99",4,"-- Отец, ангел, батюшка! --"
Тут,тут,5,232151,"31,43,48,60,100",5," очки, стал читать. Тут
только в тишине ноч"
Вязьмы,вязьм,5,276619,"35,38,43,46",4,"ия за Дорогобужем у Вязьмы, потом
у Царева-Зай"
Пожалуйте,пожалуйт,5,296655,"36,82,85,88",4,"-- Пожалуйте, княжна… князь… -- "
Эй,эй,5,306466,"37,42,65,100",4,"-- Эй, Дрон, худо будет! "
Вероятно,вероятно,5,313223,"38,65,77,95,100",5,"-- Вероятно, узнали, что я фран"
Огромная,огромна,5,350686,"43,49,50,70,92",5,"кой
гнедой лошадке. Огромная свита генералов еха"
Готов,гот,5,354722,"43,91",2,"-- Готов, ваша светлость, --"
Вены,вен,5,385014,"47,72,92,93,100",5,"думал,
как занятием Вены, кончить кампанию, "
Beausset,beausset,5,440443,"54,63",2,"а французов, m-r de Beausset676 и полковник Fabv"
Морана,моран,5,451233,55,1,ла. Стрелки дивизии Морана и дивизии вице-коро
Voil,voil,5,464106,"58,73,74,99",4,"звестный момент. --
Voilà tout."
Кого,кого,5,499716,"63,80,89,100",4," разводя
руками. -- Кого послать туда, как в"
