punct,count,rank,per_1k
‑,18299,1,165.6873
",",16180,2,146.5009
.,6626,3,59.9947
!,930,4,8.4206
?,813,5,7.3613
"""",639,6,5.7858
…,575,7,5.2063
;,458,8,4.1469
:,351,9,3.1781
',337,10,3.0513
(,165,11,1.494
),165,12,1.494
[,10,13,0.0905
],10,14,0.0905
*,3,15,0.0272
