token,count,rank,per_1k
его,852,1,10.4499
князь,626,2,7.678
сказал,565,3,6.9298
было,500,4,6.1326
а,459,5,5.6297
чтò,411,6,5.041
ему,390,7,4.7834
от,384,8,4.7098
был,367,9,4.5013
ее,357,10,4.3786
только,301,11,3.6918
андрей,296,12,3.6305
еще,292,13,3.5814
мне,232,14,2.8455
ростов,232,15,2.8455
для,216,16,2.6493
de,214,17,2.6247
него,214,18,2.6247
пьер,213,19,2.6125
уже,206,20,2.5266
была,205,21,2.5144
себя,199,22,2.4408
сказала,197,23,2.4162
говорил,191,24,2.3426
теперь,185,25,2.269
vous,179,26,2.1955
быть,175,27,2.1464
будто,175,28,2.1464
ни,174,29,2.1341
их,173,30,2.1219
были,172,31,2.1096
время,170,32,2.0851
меня,165,33,2.0237
который,162,34,1.9869
ничего,161,35,1.9747
чтобы,160,36,1.9624
до,158,37,1.9379
или,157,38,1.9256
князя,155,39,1.9011
анна,153,40,1.8766
того,150,41,1.8398
опять,150,42,1.8398
княжна,141,43,1.7294
всех,140,44,1.7171
под,139,45,1.7049
глаза,137,46,1.6803
будет,136,47,1.6681
чем,136,48,1.6681
лицо,136,49,1.6681
que,134,50,1.6435
себе,129,51,1.5822
et,128,52,1.5699
ежели,127,53,1.5577
тем,127,54,1.5577
василий,120,55,1.4718
est,118,56,1.4473
je,115,57,1.4105
мой,113,58,1.386
один,112,59,1.3737
la,111,60,1.3614
которые,111,61,1.3614
дело,111,62,1.3614
le,110,63,1.3492
во,109,64,1.3369
руку,108,65,1.3246
вдруг,108,66,1.3246
более,108,67,1.3246
после,107,68,1.3124
мог,107,69,1.3124
может,106,70,1.3001
граф,106,71,1.3001
mon,104,72,1.2756
хорошо,104,73,1.2756
свою,103,74,1.2633
офицер,103,75,1.2633
чтó,103,76,1.2633
со,102,77,1.251
кутузов,102,78,1.251
ним,101,79,1.2388
раз,100,80,1.2265
человек,99,81,1.2142
несколько,97,82,1.1897
ей,97,83,1.1897
княгиня,97,84,1.1897
перед,96,85,1.1775
другой,95,86,1.1652
ваше,92,87,1.1284
à,91,88,1.1161
лошадь,89,89,1.0916
всегда,87,90,1.0671
друг,87,91,1.0671
михайловна,87,92,1.0671
между,86,93,1.0548
солдат,86,94,1.0548
надо,85,95,1.0425
там,85,96,1.0425
знаю,84,97,1.0303
своего,83,98,1.018
видимо,83,99,1.018
отвечал,82,100,1.0057
своим,82,101,1.0057
потому,82,102,1.0057
борис,82,103,1.0057
людей,81,104,0.9935
им,81,105,0.9935
спросил,81,106,0.9935
ней,80,107,0.9812
без,79,108,0.9689
над,79,109,0.9689
через,78,110,0.9567
два,77,111,0.9444
пьера,77,112,0.9444
эту,76,113,0.9321
нее,75,114,0.9199
про,75,115,0.9199
которое,75,116,0.9199
своей,75,117,0.9199
этих,74,118,0.9076
les,73,119,0.8954
улыбаясь,73,120,0.8954
человека,73,121,0.8954
чтоб,73,122,0.8954
голову,73,123,0.8954
ne,72,124,0.8831
говорила,72,125,0.8831
князю,72,126,0.8831
нибудь,72,127,0.8831
которой,72,128,0.8831
тебе,72,129,0.8831
думал,71,130,0.8708
вперед,71,131,0.8708
генерал,70,132,0.8586
есть,67,133,0.8218
казалось,67,134,0.8218
видел,67,135,0.8218
графа,67,136,0.8218
минуту,67,137,0.8218
pas,66,138,0.8095
несмотря,66,139,0.8095
этом,66,140,0.8095
этой,66,141,0.8095
марья,66,142,0.8095
павловна,65,143,0.7972
лице,65,144,0.7972
улыбкой,65,145,0.7972
которого,64,146,0.785
впереди,64,147,0.785
войска,64,148,0.785
bourienne,64,149,0.785
ах,63,150,0.7727
которая,63,151,0.7727
un,63,152,0.7727
больше,63,153,0.7727
говорить,63,154,0.7727
слова,63,155,0.7727
нему,63,156,0.7727
нужно,62,157,0.7604
знал,62,158,0.7604
руки,62,159,0.7604
голос,62,160,0.7604
подумал,62,161,0.7604
даже,61,162,0.7482
чего,61,163,0.7482
могу,61,164,0.7482
назад,61,165,0.7482
графиня,61,166,0.7482
нас,60,167,0.7359
свое,60,168,0.7359
вместе,60,169,0.7359
день,60,170,0.7359
лица,59,171,0.7236
прежде,59,172,0.7236
тоже,59,173,0.7236
них,59,174,0.7236
обратился,59,175,0.7236
которую,59,176,0.7236
lle,59,177,0.7236
всего,59,178,0.7236
солдаты,59,179,0.7236
одно,58,180,0.7114
стал,58,181,0.7114
государя,58,182,0.7114
подошел,57,183,0.6991
своих,57,184,0.6991
видно,57,185,0.6991
милый,57,186,0.6991
наташа,57,187,0.6991
багратион,57,188,0.6991
никогда,56,189,0.6868
долохов,56,190,0.6868
хотел,55,191,0.6746
ce,55,192,0.6746
всем,55,193,0.6746
pour,55,194,0.6746
смотрел,55,195,0.6746
сказать,54,196,0.6623
свои,54,197,0.6623
уж,54,198,0.6623
разговор,54,199,0.6623
тут,54,200,0.6623
тебя,54,201,0.6623
письмо,54,202,0.6623
государь,54,203,0.6623
ma,53,204,0.6501
болконский,53,205,0.6501
сын,53,206,0.6501
глазами,53,207,0.6501
проговорил,53,208,0.6501
денисов,53,209,0.6501
особенно,52,210,0.6378
тех,52,211,0.6378
андрея,52,212,0.6378
одна,51,213,0.6255
ж,51,214,0.6255
продолжал,51,215,0.6255
вышел,51,216,0.6255
командир,51,217,0.6255
одного,50,218,0.6133
кутузова,50,219,0.6133
закричал,50,220,0.6133
котором,49,221,0.601
люди,49,222,0.601
кроме,49,223,0.601
нельзя,49,224,0.601
ростова,49,225,0.601
французов,49,226,0.601
против,48,227,0.5887
знаете,48,228,0.5887
глядя,48,229,0.5887
остановился,48,230,0.5887
прямо,48,231,0.5887
армии,48,232,0.5887
штаб,48,233,0.5887
говорили,47,234,0.5765
элен,47,235,0.5765
много,47,236,0.5765
des,46,237,0.5642
анатоль,46,238,0.5642
стоял,46,239,0.5642
лошади,46,240,0.5642
несвицкий,46,241,0.5642
nous,45,242,0.5519
une,45,243,0.5519
обращаясь,45,244,0.5519
тому,45,245,0.5519
двери,45,246,0.5519
совершенно,45,247,0.5519
которых,45,248,0.5519
соня,45,249,0.5519
chère,44,250,0.5397
нынче,44,251,0.5397
этим,44,252,0.5397
делать,44,253,0.5397
молодой,44,254,0.5397
голосом,44,255,0.5397
николай,44,256,0.5397
мост,44,257,0.5397
хотя,43,258,0.5274
видеть,43,259,0.5274
выражение,43,260,0.5274
нем,43,261,0.5274
около,43,262,0.5274
друга,43,263,0.5274
мимо,43,264,0.5274
qui,43,265,0.5274
должен,43,266,0.5274
комнату,43,267,0.5274
n,42,268,0.5151
можно,42,269,0.5151
qu,42,270,0.5151
всю,42,271,0.5151
двух,42,272,0.5151
лицом,42,273,0.5151
очевидно,42,274,0.5151
собой,42,275,0.5151
сидел,42,276,0.5151
полковой,42,277,0.5151
голоса,41,278,0.5029
d,41,279,0.5029
бонапарте,41,280,0.5029
пьеру,41,281,0.5029
моя,41,282,0.5029
ту,41,283,0.5029
княжны,41,284,0.5029
полк,41,285,0.5029
выражением,40,286,0.4906
tout,40,287,0.4906
чувство,40,288,0.4906
прибавил,40,289,0.4906
маленькая,40,290,0.4906
глаз,40,291,0.4906
своими,40,292,0.4906
знает,39,293,0.4783
весело,39,294,0.4783
никто,39,295,0.4783
французы,39,296,0.4783
поехал,39,297,0.4783
быстро,39,298,0.4783
чувствовал,39,299,0.4783
куда,39,300,0.4783
место,38,301,0.4661
наконец,38,302,0.4661
адъютант,38,303,0.4661
той,38,304,0.4661
вид,38,305,0.4661
совсем,38,306,0.4661
какой,38,307,0.4661
дальше,38,308,0.4661
сражения,38,309,0.4661
mais,37,310,0.4538
du,37,311,0.4538
знать,37,312,0.4538
другие,37,313,0.4538
руками,37,314,0.4538
первый,37,315,0.4538
сделать,37,316,0.4538
завтра,37,317,0.4538
кажется,37,318,0.4538
дверь,37,319,0.4538
старый,37,320,0.4538
plus,36,321,0.4415
me,36,322,0.4415
en,36,323,0.4415
кого,36,324,0.4415
императора,36,325,0.4415
жизни,36,326,0.4415
рукой,36,327,0.4415
сторон,36,328,0.4415
таким,36,329,0.4415
говорю,36,330,0.4415
пошел,36,331,0.4415
ростову,36,332,0.4415
звуки,36,333,0.4415
si,35,334,0.4293
которым,35,335,0.4293
говорят,35,336,0.4293
своем,35,337,0.4293
других,35,338,0.4293
комнате,35,339,0.4293
давно,35,340,0.4293
отца,35,341,0.4293
бориса,35,342,0.4293
кричал,35,343,0.4293
офицера,35,344,0.4293
го,35,345,0.4293
милая,35,346,0.4293
тушин,35,347,0.4293
comme,34,348,0.417
тогда,34,349,0.417
