name,name_lower,chapter_idx,count
Adorable,adorable,84,1
Alexandre,alexandre,35,1
Aliment,aliment,76,1
Allemands,allemands,23,1
Alors,alors,23,1
Am,am,15,1
Andr,andr,6,1
Andr,andr,22,1
Andr,andr,27,3
Andr,andr,60,1
Andr,andr,75,1
Apr,apr,23,1
Arbres,arbres,76,1
Austerlitz,austerlitz,23,2
Autriche,autriche,20,2
Benigsen,benigsen,23,3
Bonaparte,bonaparte,23,3
Boukshevden,boukshevden,23,9
Bour,bour,28,1
Bourienne,bourienne,22,1
Bourienne,bourienne,59,2
Bourienne,bourienne,60,1
Bourienne,bourienne,73,9
Bourienne,bourienne,74,3
Bourienne,bourienne,78,5
Bourienne,bourienne,92,2
Bref,bref,23,2
Buonaparte,buonaparte,33,1
Caulaincourt,caulaincourt,44,1
Certains,certains,40,1
Ch,ch,85,1
Charm,charm,27,1
Comoneno,comoneno,91,1
Courage,courage,7,1
George Dandin,dandin,20,1
Das,das,46,1
Mon Dieu,dieu,27,1
Mon Dieu,dieu,84,1
Dolochoff,dolochoff,79,1
Duport,duport,0,1
Duport,duport,80,2
Duport,duport,81,1
Eh,eh,20,1
Encore,encore,34,1
Fr,fr,21,1
Fran,fran,23,1
France,france,35,1
Georges,georges,82,1
Georges,georges,83,2
Georges,georges,84,8
Glogau,glogau,23,1
Gomme,gomme,23,1
Hand,hand,23,1
Hippolyte,hippolyte,21,1
Julie,julie,59,1
Julie,julie,76,2
Justiniani,justiniani,41,1
Kamensky,kamensky,23,1
Kopenhague,kopenhague,20,1
Kroug,kroug,20,1
Ligne,ligne,44,1
Mann,mann,55,1
Mansfeld,mansfeld,15,1
Mardi,mardi,20,1
Marie,marie,6,1
Marie,marie,7,1
Maтреши,maтреш,88,1
Montesquieu,montesquieu,40,1
Mortemart,mortemart,20,2
Mortemart,mortemart,21,1
Moscou,moscou,76,1
Napol,napol,33,1
Napol,napol,35,1
Napol,napol,41,1
Et Nathalie,nathalie,79,1
Et Nathalie,nathalie,84,1
Nicolas,nicolas,0,1
Nicolas,nicolas,10,1
Nicolas,nicolas,69,3
Nicolas,nicolas,70,1
Nicolas,nicolas,86,4
Nocturne,nocturne,69,1
Non,non,7,1
Non,non,11,1
Non,non,21,1
Oh,oh,7,1
Oh,oh,14,2
Oh,oh,80,1
Oldenbourg,oldenbourg,74,1
Pendant,pendant,23,1
Persan,persan,79,1
Pierre,pierre,27,1
Pierre,pierre,91,1
Potsdam,potsdam,23,1
Poultousk,poultousk,23,3
Prosorofsky,prosorofsky,23,1
Prusse,prusse,21,6
Prusse,prusse,23,3
Prussiens,prussiens,23,3
Puiss,puiss,23,1
Russie,russie,35,1
Schoss,schoss,68,1
Schoss,schoss,69,3
Schwarzenberg,schwarzenberg,21,1
Shittoff,shittoff,20,1
Sire,sire,35,1
Sophie,sophie,10,1
Sophie,sophie,58,1
Souvoroff,souvoroff,23,1
Suza,suza,15,1
Toi,toi,76,1
Tranquillisez,tranquillisez,74,1
Tu,tu,20,1
Urope,urope,20,3
Venez,venez,21,2
Venez,venez,81,1
Vienne,vienne,20,3
Vive,vive,35,1
Voil,voil,23,1
Voyez,voyez,11,1
Voyons,voyons,21,1
Vraiment,vraiment,27,1
Vraiment,vraiment,75,1
Weib,weib,46,1
Ааах,ааах,12,1
Австрию,австри,6,1
Австрию,австри,20,1
Австрию,австри,36,1
Австрию,австри,74,2
Австриею,австрие,55,1
Адама,адам,16,2
Адамовой,адамов,15,1
Адамовой,адамов,16,1
Адонаи,адона,45,1
Ай,ай,67,1
Акинфию,акинфи,60,1
Александра,александр,2,2
Александра,александр,33,3
Александра,александр,34,2
Александра,александр,35,14
Александра,александр,36,3
Александра,александр,39,1
Александра,александр,51,1
Александра,александр,73,1
Александра,александр,93,1
Осипом Алексеевичем,алексеевич,17,2
Осипом Алексеевичем,алексеевич,31,1
Осипом Алексеевичем,алексеевич,42,2
Осипом Алексеевичем,алексеевич,43,7
Осипом Алексеевичем,алексеевич,45,3
Осипом Алексеевичем,алексеевич,72,1
Осипом Алексеевичем,алексеевич,90,1
Макара Алексеича,алексеич,31,1
Аленина,ален,79,1
Алеше,алеш,29,1
Алкидов,алкид,2,1
Амфилохия,амфилохи,28,1
Амштетенском,амштетенск,13,1
Анатоля,анатол,76,1
Анатоля,анатол,81,1
Анатоля,анатол,82,3
Анатоля,анатол,84,1
Анатоля,анатол,85,3
Анатоля,анатол,86,3
Анатоля,анатол,87,6
Анатоля,анатол,88,6
Анатоля,анатол,90,3
Анатоля,анатол,91,9
Анатоля,анатол,92,1
Анатоля,анатол,93,1
Анатоль,анатоль,5,1
Анатоль,анатоль,79,1
Анатоль,анатоль,80,1
Анатоль,анатоль,81,6
Анатоль,анатоль,82,6
Анатоль,анатоль,83,1
Анатоль,анатоль,84,10
Анатоль,анатоль,87,19
Анатоль,анатоль,88,10
Анатоль,анатоль,90,3
Анатоль,анатоль,91,9
Анатоль,анатоль,92,1
Англию,англи,54,1
Английского,английского,1,2
Английского,английского,2,1
Английского,английского,72,1
Андрей,андр,6,1
Андрей,андр,8,4
Андрей,андр,22,10
Андрей,андр,23,1
Андрей,андр,25,23
Андрей,андр,26,13
Андрей,андр,27,11
Андрей,андр,28,2
Андрей,андр,36,5
Андрей,андр,37,5
Андрей,андр,38,10
Андрей,андр,39,10
Андрей,андр,40,13
Андрей,андр,41,6
Андрей,андр,51,1
Андрей,андр,52,7
Андрей,андр,53,9
Андрей,андр,54,4
Андрей,андр,56,8
Андрей,андр,57,9
Андрей,андр,58,23
Андрей,андр,59,4
Андрей,андр,70,1
Андрей,андр,71,1
Андрей,андр,73,1
Андрей,андр,75,1
Андрей,андр,77,1
Андрей,андр,81,1
Андрей,андр,86,2
Андрей,андр,90,1
Андрей,андр,92,11
Андрей,андр,93,2
Андрея,андре,6,3
Андрея,андре,7,3
Андрея,андре,8,3
Андрея,андре,22,4
Андрея,андре,23,1
Андрея,андре,25,8
Андрея,андре,26,4
Андрея,андре,27,2
Андрея,андре,28,2
Андрея,андре,34,1
Андрея,андре,36,2
Андрея,андре,37,4
Андрея,андре,39,5
Андрея,андре,40,6
Андрея,андре,41,15
