token,count,rank,per_1k
никто,42,262,0.4927
нас,41,263,0.481
увидал,41,264,0.481
одна,41,265,0.481
друга,41,266,0.481
две,41,267,0.481
душе,41,268,0.481
видимо,41,269,0.481
можно,41,270,0.481
одной,41,271,0.481
моя,41,272,0.481
сидел,40,273,0.4693
ваше,40,274,0.4693
стало,40,275,0.4693
жюли,40,276,0.4693
собой,39,277,0.4575
мать,39,278,0.4575
таким,39,279,0.4575
часто,39,280,0.4575
марьи,39,281,0.4575
стали,39,282,0.4575
ясно,39,283,0.4575
голосом,39,284,0.4575
николая,39,285,0.4575
своими,39,286,0.4575
les,39,287,0.4575
весело,38,288,0.4458
государя,38,289,0.4458
взял,38,290,0.4458
прямо,38,291,0.4458
минуты,38,292,0.4458
que,38,293,0.4458
мама,38,294,0.4458
à,38,295,0.4458
сперанский,38,296,0.4458
дом,37,297,0.4341
обратился,37,298,0.4341
нынче,37,299,0.4341
дня,37,300,0.4341
делать,37,301,0.4341
нам,37,302,0.4341
должно,37,303,0.4341
vous,37,304,0.4341
знала,37,305,0.4341
видела,37,306,0.4341
подле,36,307,0.4223
москву,36,308,0.4223
точно,36,309,0.4223
старик,36,310,0.4223
смотрела,36,311,0.4223
отчего,36,312,0.4223
лицом,36,313,0.4223
знаете,36,314,0.4223
продолжал,36,315,0.4223
d,36,316,0.4223
гостиной,35,317,0.4106
улыбнулся,35,318,0.4106
говорит,35,319,0.4106
каждый,35,320,0.4106
другие,35,321,0.4106
одного,35,322,0.4106
ростову,35,323,0.4106
любил,35,324,0.4106
берг,35,325,0.4106
выражение,34,326,0.3989
видно,34,327,0.3989
знаешь,34,328,0.3989
буду,34,329,0.3989
нею,34,330,0.3989
против,34,331,0.3989
руками,34,332,0.3989
начал,34,333,0.3989
марье,34,334,0.3989
скоро,33,335,0.3871
глаз,33,336,0.3871
слово,33,337,0.3871
лице,33,338,0.3871
правда,33,339,0.3871
других,33,340,0.3871
бориса,33,341,0.3871
той,33,342,0.3871
петербурге,33,343,0.3871
гостей,33,344,0.3871
думать,33,345,0.3871
вечер,33,346,0.3871
графини,33,347,0.3871
наташей,33,348,0.3871
nous,33,349,0.3871
собак,33,350,0.3871
анна,32,351,0.3754
сидела,32,352,0.3754
взгляд,32,353,0.3754
увидав,32,354,0.3754
пор,32,355,0.3754
ними,32,356,0.3754
радостно,32,357,0.3754
молча,32,358,0.3754
жить,32,359,0.3754
слишком,32,360,0.3754
анатоля,32,361,0.3754
молодой,31,362,0.3637
платье,31,363,0.3637
чуть,31,364,0.3637
ноги,31,365,0.3637
этому,31,366,0.3637
старого,31,367,0.3637
стояли,31,368,0.3637
должны,31,369,0.3637
какая,31,370,0.3637
петербург,31,371,0.3637
стороны,31,372,0.3637
быстро,31,373,0.3637
иногда,31,374,0.3637
стараясь,31,375,0.3637
гостиную,30,376,0.3519
дать,30,377,0.3519
брат,30,378,0.3519
брата,30,379,0.3519
бывает,30,380,0.3519
думаю,30,381,0.3519
год,30,382,0.3519
вечером,30,383,0.3519
тысяч,30,384,0.3519
княжны,30,385,0.3519
уехал,30,386,0.3519
письма,30,387,0.3519
поехал,30,388,0.3519
чувствовала,30,389,0.3519
une,30,390,0.3519
отвечала,30,391,0.3519
домой,29,392,0.3402
закричал,29,393,0.3402
взглянул,29,394,0.3402
прошу,29,395,0.3402
мало,29,396,0.3402
крикнул,29,397,0.3402
встал,29,398,0.3402
знать,29,399,0.3402
любить,29,400,0.3402
обеда,29,401,0.3402
самого,29,402,0.3402
знает,29,403,0.3402
середине,29,404,0.3402
вопрос,29,405,0.3402
узнал,29,406,0.3402
вышла,29,407,0.3402
начала,29,408,0.3402
сперанского,29,409,0.3402
го,28,410,0.3285
наконец,28,411,0.3285
лет,28,412,0.3285
проговорил,28,413,0.3285
спрашивал,28,414,0.3285
любовь,28,415,0.3285
каким,28,416,0.3285
шопотом,28,417,0.3285
жены,28,418,0.3285
сел,28,419,0.3285
голоса,28,420,0.3285
невольно,28,421,0.3285
мной,28,422,0.3285
хотелось,28,423,0.3285
je,28,424,0.3285
en,28,425,0.3285
весьма,28,426,0.3285
поспешно,27,427,0.3168
прелесть,27,428,0.3168
таки,27,429,0.3168
взглядом,27,430,0.3168
которому,27,431,0.3168
видом,27,432,0.3168
одну,27,433,0.3168
последнее,27,434,0.3168
зная,27,435,0.3168
слушал,27,436,0.3168
двух,27,437,0.3168
мысли,27,438,0.3168
такого,27,439,0.3168
тихо,27,440,0.3168
княжне,27,441,0.3168
сони,27,442,0.3168
какое,27,443,0.3168
головой,26,444,0.305
соне,26,445,0.305
хочешь,26,446,0.305
спросила,26,447,0.305
mon,26,448,0.305
страшно,26,449,0.305
собою,26,450,0.305
мире,26,451,0.305
генерал,26,452,0.305
особенности,26,453,0.305
случилось,26,454,0.305
соней,25,455,0.2933
просто,25,456,0.2933
любит,25,457,0.2933
видал,25,458,0.2933
предложение,25,459,0.2933
бале,25,460,0.2933
хороша,25,461,0.2933
кажется,25,462,0.2933
новое,25,463,0.2933
глазах,25,464,0.2933
остановился,25,465,0.2933
пока,25,466,0.2933
тяжело,25,467,0.2933
понял,25,468,0.2933
такою,25,469,0.2933
тобой,25,470,0.2933
общества,25,471,0.2933
свете,25,472,0.2933
мысль,25,473,0.2933
бога,25,474,0.2933
свет,25,475,0.2933
qui,25,476,0.2933
лошади,24,477,0.2816
желая,24,478,0.2816
могли,24,479,0.2816
вокруг,24,480,0.2816
послышался,24,481,0.2816
понимаю,24,482,0.2816
странно,24,483,0.2816
милый,24,484,0.2816
денег,24,485,0.2816
право,24,486,0.2816
вечера,24,487,0.2816
боюсь,24,488,0.2816
место,24,489,0.2816
ожидая,24,490,0.2816
твердо,24,491,0.2816
сколько,24,492,0.2816
хочет,24,493,0.2816
женщины,24,494,0.2816
девушка,24,495,0.2816
соню,24,496,0.2816
жалко,24,497,0.2816
указывая,24,498,0.2816
неужели,24,499,0.2816
неприятно,24,500,0.2816
желал,24,501,0.2816
дочери,24,502,0.2816
графу,23,503,0.2698
ростовы,23,504,0.2698
места,23,505,0.2698
рада,23,506,0.2698
какие,23,507,0.2698
скажу,23,508,0.2698
имел,23,509,0.2698
рад,23,510,0.2698
самое,23,511,0.2698
вошла,23,512,0.2698
самой,23,513,0.2698
мимо,23,514,0.2698
жил,23,515,0.2698
виноват,23,516,0.2698
получил,23,517,0.2698
лошадей,23,518,0.2698
заметил,23,519,0.2698
вполне,23,520,0.2698
bourienne,23,521,0.2698
марш,23,522,0.2698
собаки,23,523,0.2698
дядюшки,23,524,0.2698
наш,22,525,0.2581
новые,22,526,0.2581
вера,22,527,0.2581
около,22,528,0.2581
хотела,22,529,0.2581
сын,22,530,0.2581
деньги,22,531,0.2581
оглянулся,22,532,0.2581
стола,22,533,0.2581
князем,22,534,0.2581
здоровье,22,535,0.2581
смотреть,22,536,0.2581
завтра,22,537,0.2581
un,22,538,0.2581
подошла,22,539,0.2581
ce,22,540,0.2581
pas,22,541,0.2581
добродетели,22,542,0.2581
верно,22,543,0.2581
повторил,22,544,0.2581
говорю,22,545,0.2581
читал,22,546,0.2581
lle,22,547,0.2581
волка,22,548,0.2581
прибавил,21,549,0.2464
никому,21,550,0.2464
залу,21,551,0.2464
слезы,21,552,0.2464
месте,21,553,0.2464
поцеловал,21,554,0.2464
хочу,21,555,0.2464
одним,21,556,0.2464
шагами,21,557,0.2464
оба,21,558,0.2464
долоховым,21,559,0.2464
посмотрел,21,560,0.2464
слышал,21,561,0.2464
могло,21,562,0.2464
приезда,21,563,0.2464
другого,21,564,0.2464
понять,21,565,0.2464
говорите,21,566,0.2464
старался,21,567,0.2464
испытывал,21,568,0.2464
году,21,569,0.2464
рублей,21,570,0.2464
любила,21,571,0.2464
главное,21,572,0.2464
n,21,573,0.2464
кричал,20,574,0.2346
никого,20,575,0.2346
успел,20,576,0.2346
радости,20,577,0.2346
петя,20,578,0.2346
взяв,20,579,0.2346
знали,20,580,0.2346
вчера,20,581,0.2346
ожидал,20,582,0.2346
армии,20,583,0.2346
общество,20,584,0.2346
просить,20,585,0.2346
пять,20,586,0.2346
самых,20,587,0.2346
прошел,20,588,0.2346
испуганно,20,589,0.2346
сели,20,590,0.2346
императора,20,591,0.2346
равно,20,592,0.2346
самый,20,593,0.2346
самом,20,594,0.2346
оттого,20,595,0.2346
считал,20,596,0.2346
спокойно,20,597,0.2346
села,20,598,0.2346
минут,20,599,0.2346
масон,20,600,0.2346
разговора,20,601,0.2346
обращаясь,20,602,0.2346
братьев,20,603,0.2346
ума,20,604,0.2346
чистое,20,605,0.2346
вернулся,19,606,0.2229
дороги,19,607,0.2229
богу,19,608,0.2229
числе,19,609,0.2229
слезами,19,610,0.2229
глупости,19,611,0.2229
скорее,19,612,0.2229
государю,19,613,0.2229
напротив,19,614,0.2229
вспомнил,19,615,0.2229
просил,19,616,0.2229
говорят,19,617,0.2229
причины,19,618,0.2229
сидели,19,619,0.2229
чувства,19,620,0.2229
петербурга,19,621,0.2229
слов,19,622,0.2229
наполеон,19,623,0.2229
будут,19,624,0.2229
выражением,19,625,0.2229
дам,19,626,0.2229
легко,19,627,0.2229
ближе,19,628,0.2229
кабинет,19,629,0.2229
поди,19,630,0.2229
всеми,19,631,0.2229
стояла,19,632,0.2229
подумала,19,633,0.2229
света,19,634,0.2229
дурно,19,635,0.2229
счастье,19,636,0.2229
остановилась,19,637,0.2229
кем,19,638,0.2229
состоянии,19,639,0.2229
графине,19,640,0.2229
пошла,19,641,0.2229
лакей,18,642,0.2112
сиятельство,18,643,0.2112
василий,18,644,0.2112
понимал,18,645,0.2112
серьезно,18,646,0.2112
самые,18,647,0.2112
замуж,18,648,0.2112
смотрели,18,649,0.2112
сказали,18,650,0.2112
рассказывал,18,651,0.2112
отъезда,18,652,0.2112
другую,18,653,0.2112
деле,18,654,0.2112
честь,18,655,0.2112
гости,18,656,0.2112
большой,18,657,0.2112
ходить,18,658,0.2112
вновь,18,659,0.2112
самым,18,660,0.2112
первых,18,661,0.2112
отвечая,18,662,0.2112
иди,18,663,0.2112
страх,18,664,0.2112
десять,18,665,0.2112
мыслей,18,666,0.2112
пришел,18,667,0.2112
иметь,18,668,0.2112
руке,18,669,0.2112
нашел,18,670,0.2112
сначала,18,671,0.2112
ногами,18,672,0.2112
речь,18,673,0.2112
которыми,18,674,0.2112
павловна,18,675,0.2112
данило,18,676,0.2112
охотник,18,677,0.2112
балага,18,678,0.2112
конце,17,679,0.1994
кабинете,17,680,0.1994
сани,17,681,0.1994
молодого,17,682,0.1994
вероятно,17,683,0.1994
кому,17,684,0.1994
счастия,17,685,0.1994
оглядываясь,17,686,0.1994
ужасно,17,687,0.1994
взяла,17,688,0.1994
итти,17,689,0.1994
всей,17,690,0.1994
коли,17,691,0.1994
сюда,17,692,0.1994
хоть,17,693,0.1994
белом,17,694,0.1994
