punct,count,rank,per_1k
-,39758,1,206.9425
.,29265,2,152.3259
",",26583,3,138.3659
:,7389,4,38.4601
),1196,5,6.2252
(,1134,6,5.9025
"""",1011,7,5.2623
?,858,8,4.4659
;,720,9,3.7476
!,709,10,3.6904
…,491,11,2.5557
',325,12,1.6916
[,69,13,0.3591
],69,14,0.3591
*,14,15,0.0729
/,14,16,0.0729
=,2,17,0.0104
