source,source_lower,target,target_lower,weight,context_level,chapters,num_chapters
Марьи,марь,Наташа,наташ,49,sentence,"6,7,13,14,15,55,57,69,71,73,81,82,85,86,427,433,479,493,494,496",20
Войны,войн,Мира,мир,45,sentence,"101,126,550,554",4
Наташа,наташ,Пьер,пьер,40,sentence,"70,71,73,83,84,85,86,87,89,110,111,279,299,302,317,319,320,492,493,494,496,497,514",23
Наташа,наташ,Соня,сон,27,sentence,"7,13,15,78,81,82,109,110,158,161,230,259,294,296,297,304,306,311,427",19
Андрее,андре,Наташа,наташ,26,sentence,"7,13,14,55,57,71,78,274,276,278,280,281,285,299,312,317,319,337,427,433,493",21
Александру,александр,Наполеона,наполеон,26,sentence,"24,25,74,75,77,90,91,93,149,209,254,256,499,529,541,545,548,554",18
Москва,москв,Наполеона,наполеон,24,sentence,"3,18,23,24,25,30,32,35,54,90,147,328,444,537,547",15
Марьи,марь,Пьер,пьер,22,sentence,"69,70,71,73,84,85,86,493,494,496,497",11
Денисов,денис,Петя,пет,19,sentence,"39,40,42,43,44,45,46,461",8
Андрее,андре,Марьи,марь,18,sentence,"4,5,6,7,13,55,57,69,83,249,313,319,427,433,477,493",16
Кутузова,кутуз,Москва,москв,16,sentence,"1,2,23,24,30,32,33,54,58,59,64,147,422,453",14
Марьи,марь,Николая,никола,16,sentence,"5,6,7,13,79,85,86,359,424,425,427,504",12
Андрее,андре,Пьер,пьер,15,sentence,"66,69,106,108,155,246,247,299,317,319,493",11
Николая,никола,Соня,сон,14,sentence,"6,7,78,81,110,111,160,161,426,427",10
Москва,москв,Пьер,пьер,14,sentence,"9,27,29,47,66,67,69,85,317,363",10
Москва,москв,Петербурге,петербург,13,sentence,"1,2,3,18,23,24,32,67,69,83,422,532",12
Марьи,марь,Николай,николай,13,sentence,"4,5,6,7,79,80,82,84,85",9
Княжна Марья,княжн марь,Наташа,наташ,13,sentence,"13,14,55,56,57,71",6
Петербурге,петербург,Пьер,пьер,13,sentence,"67,71,78,84,86,87,89,157,236,509",10
Марьи,марь,Москва,москв,12,sentence,"5,13,55,57,69,71,79,300,479,504",10
Марьи,марь,Соня,сон,12,sentence,"5,6,7,13,80,81,82,83,84,426,427",11
Каратаев,карата,Пьер,пьер,12,sentence,"12,47,48,49,50,71",6
Кутузова,кутуз,Наполеона,наполеон,12,sentence,"23,24,30,32,54,58,59,480,554",9
Бориса,борис,Наташа,наташ,12,sentence,"108,110,111,161,270,278",6
Наполеона,наполеон,России,росси,11,sentence,"3,16,27,54,75,90,95,146,543",9
Долохов,долох,Петя,пет,11,sentence,"43,44,46,461",4
Кутузова,кутуз,Петербурге,петербург,10,sentence,"1,2,17,18,23,58,65,329,421,422",10
Москва,москв,Наташа,наташ,10,sentence,"13,55,57,78,83,85,297,304,317",9
Наташа,наташ,Николая,никола,10,sentence,"45,78,83,85,86,89,110,161,427",9
Мира,мир,Толстой,толст,10,sentence,"550,554",2
Войны,войн,Толстой,толст,10,sentence,"550,554",2
Наташа,наташ,Николай,николай,9,sentence,"6,7,86,87,109,110,137,158,294",9
Денисов,денис,Долохов,долох,9,sentence,"38,39,41,43,222,223,459,461",8
Денисов,денис,Ну,ну,9,sentence,"39,41,46,86,87,115",6
Европу,европ,России,росси,9,sentence,"65,67,74,75,87,90,106,146",8
Николай,николай,Соня,сон,9,sentence,"80,81,110,111,158,167,294",7
Кутузова,кутуз,Кутузове,кутузов,8,sentence,"23,30,59,64,115,126,451",7
Вильну,вильн,Кутузова,кутуз,8,sentence,"58,59,64,65,487",5
Наполеона,наполеон,Франции,франци,7,sentence,"1,75,90,543,549,554",6
Москва,москв,России,росси,7,sentence,"3,35,59,74,90",5
Даву,дав,Пьер,пьер,7,sentence,"9,429",2
Европу,европ,Наполеона,наполеон,7,sentence,"65,77,90,146,541",5
Бориса,борис,Николай,николай,7,sentence,"108,110,111,167",4
Войны,войн,Толстого,толстого,7,sentence,554,1
Мира,мир,Толстого,толстого,7,sentence,554,1
Николая,никола,Николай,николай,6,sentence,"3,5,79,88",4
Андрее,андре,Москва,москв,6,sentence,"5,78,317,349,426",5
Андрее,андре,Княжна Марья,княжн марь,6,sentence,"5,6,14,70,225,426",6
Москва,москв,Соня,сон,6,sentence,"7,78,297,304,426",5
