token,count,rank,per_1k
в,9743,1,50.7128
и,8197,2,42.6658
стр,3525,3,18.3478
строка,3441,4,17.9106
г,2965,5,15.433
не,2892,6,15.053
вместо,2887,7,15.027
изд,2763,8,14.3816
он,2363,9,12.2995
с,2203,10,11.4667
на,2118,11,11.0243
что,2106,12,10.9618
как,1417,13,7.3756
его,1353,14,7.0424
то,1252,15,6.5167
р,1189,16,6.1888
к,1171,17,6.0951
о,973,18,5.0645
но,944,19,4.9136
это,896,20,4.6637
по,879,21,4.5752
она,783,22,4.0756
было,780,23,4.0599
я,780,24,4.0599
от,668,25,3.477
из,661,26,3.4405
а,657,27,3.4197
же,624,28,3.248
так,617,29,3.2115
только,610,30,3.1751
ее,606,31,3.1543
за,598,32,3.1126
был,594,33,3.0918
после,573,34,2.9825
сказал,553,35,2.8784
для,540,36,2.8107
слов,533,37,2.7743
всё,531,38,2.7639
пьер,518,39,2.6962
чтò,511,40,2.6598
ему,509,41,2.6494
бы,500,42,2.6025
во,495,43,2.5765
у,457,44,2.3787
нет,452,45,2.3527
когда,450,46,2.3423
глава,396,47,2.0612
сноске,395,48,2.056
того,375,49,1.9519
все,375,50,1.9519
или,358,51,1.8634
ч,354,52,1.8426
гл,354,53,1.8426
они,342,54,1.7801
ни,334,55,1.7385
теперь,328,56,1.7073
их,322,57,1.676
еще,314,58,1.6344
время,303,59,1.5771
том,295,60,1.5355
этого,290,61,1.5095
была,289,62,1.5043
него,283,63,1.473
князь,281,64,1.4626
пьера,279,65,1.4522
были,278,66,1.447
чем,276,67,1.4366
быть,272,68,1.4158
которые,270,69,1.4054
до,265,70,1.3793
наташа,264,71,1.3741
при,262,72,1.3637
да,261,73,1.3585
мы,256,74,1.3325
вы,255,75,1.3273
себе,254,76,1.3221
чтобы,253,77,1.3169
себя,247,78,1.2856
ты,242,79,1.2596
уже,238,80,1.2388
слова,232,81,1.2076
николай,224,82,1.1659
тем,223,83,1.1607
всех,220,84,1.1451
человек,218,85,1.1347
который,218,86,1.1347
ей,217,87,1.1295
этот,216,88,1.1243
есть,215,89,1.1191
говорил,214,90,1.1139
потому,213,91,1.1087
сказала,201,92,1.0462
жизни,198,93,1.0306
мне,197,94,1.0254
под,194,95,1.0098
без,194,96,1.0098
людей,192,97,0.9994
ну,191,98,0.9942
князя,189,99,0.9838
вот,186,100,0.9681
княжна,186,101,0.9681
андрей,183,102,0.9525
может,182,103,0.9473
марья,182,104,0.9473
французов,180,105,0.9369
им,177,106,0.9213
наполеона,174,107,0.9057
лицо,173,108,0.9005
вдруг,170,109,0.8849
один,167,110,0.8692
человека,167,111,0.8692
армии,167,112,0.8692
эти,166,113,0.864
меня,166,114,0.864
денисов,166,115,0.864
всегда,165,116,0.8588
очень,161,117,0.838
со,161,118,0.838
ним,160,119,0.8328
ничего,159,120,0.8276
опять,159,121,0.8276
между,154,122,0.8016
ли,154,123,0.8016
будто,153,124,0.7964
т,153,125,0.7964
de,152,126,0.7912
надо,151,127,0.786
будет,151,128,0.786
перед,150,129,0.7808
более,145,130,0.7547
мог,141,131,0.7339
разговор,140,132,0.7287
своей,139,133,0.7235
генерал,138,134,0.7183
больше,137,135,0.7131
об,135,136,0.7027
свои,134,137,0.6975
кто,133,138,0.6923
кутузов,133,139,0.6923
которого,130,140,0.6767
которое,130,141,0.6767
свою,130,142,0.6767
тогда,129,143,0.6715
войска,129,144,0.6715
тому,127,145,0.661
если,127,146,0.661
своего,126,147,0.6558
люди,126,148,0.6558
где,125,149,0.6506
тот,124,150,0.6454
этом,124,151,0.6454
никогда,124,152,0.6454
андрея,124,153,0.6454
солдат,123,154,0.6402
ней,123,155,0.6402
нибудь,121,156,0.6298
москвы,121,157,0.6298
этих,120,158,0.6246
прежде,120,159,0.6246
