punct,count,rank,per_1k
-,20879,1,175.4228
",",16475,2,138.421
.,6904,3,58.0066
?,890,4,7.4777
"""",801,5,6.7299
!,765,6,6.4274
…,484,7,4.0665
;,456,8,3.8313
:,384,9,3.2263
),166,10,1.3947
',154,11,1.2939
(,146,12,1.2267
[,17,13,0.1428
],17,14,0.1428
