token,count,rank,per_1k
и,5718,1,48.0419
в,2944,2,24.7351
не,2427,3,20.3914
он,2013,4,16.913
на,1764,5,14.8209
с,1712,6,14.384
что,1579,7,13.2666
я,1094,8,9.1917
его,1089,9,9.1496
как,1070,10,8.99
она,1016,11,8.5363
к,936,12,7.8642
то,870,13,7.3096
но,681,14,5.7217
это,659,15,5.5368
было,658,16,5.5284
сказал,575,17,4.8311
так,574,18,4.8227
ее,552,19,4.6378
ему,545,20,4.579
всё,521,21,4.3774
за,519,22,4.3606
а,518,23,4.3522
о,505,24,4.2429
чтò,505,25,4.2429
из,459,26,3.8565
по,456,27,3.8313
наташа,447,28,3.7556
же,444,29,3.7304
был,430,30,3.6128
от,408,31,3.428
пьер,406,32,3.4112
только,404,33,3.3944
князь,401,34,3.3692
у,394,35,3.3103
бы,364,36,3.0583
еще,329,37,2.7642
ты,324,38,2.7222
вы,322,39,2.7054
для,310,40,2.6046
андрей,298,41,2.5038
мне,287,42,2.4113
когда,284,43,2.3861
да,281,44,2.3609
сказала,276,45,2.3189
была,265,46,2.2265
него,250,47,2.1005
ей,246,48,2.0669
себя,245,49,2.0585
все,245,50,2.0585
теперь,233,51,1.9576
были,228,52,1.9156
быть,222,53,1.8652
ни,220,54,1.8484
этого,219,55,1.84
ростов,205,56,1.7224
меня,205,57,1.7224
того,197,58,1.6552
николай,195,59,1.6384
опять,187,60,1.5712
нет,186,61,1.5627
после,184,62,1.5459
вот,183,63,1.5375
себе,183,64,1.5375
чтобы,183,65,1.5375
они,182,66,1.5291
ну,181,67,1.5207
ней,180,68,1.5123
время,179,69,1.5039
уже,177,70,1.4871
говорил,174,71,1.4619
граф,174,72,1.4619
ничего,172,73,1.4451
марья,171,74,1.4367
очень,168,75,1.4115
том,167,76,1.4031
их,163,77,1.3695
этот,162,78,1.3611
раз,160,79,1.3443
во,157,80,1.3191
до,156,81,1.3107
ли,155,82,1.3023
соня,155,83,1.3023
который,153,84,1.2855
которые,152,85,1.2771
чем,152,86,1.2771
или,151,87,1.2687
ежели,144,88,1.2099
своего,140,89,1.1763
ним,139,90,1.1679
надо,136,91,1.1427
князя,136,92,1.1427
тем,134,93,1.1259
лицо,133,94,1.1174
княжна,133,95,1.1174
нее,132,96,1.109
мы,130,97,1.0922
всех,124,98,1.0418
будто,123,99,1.0334
глаза,123,100,1.0334
потому,123,101,1.0334
мой,121,102,1.0166
может,121,103,1.0166
de,120,104,1.0082
своей,119,105,0.9998
дело,116,106,0.9746
где,114,107,0.9578
свою,114,108,0.9578
со,113,109,0.9494
вас,113,110,0.9494
вдруг,112,111,0.941
перед,112,112,0.941
про,112,113,0.941
кто,111,114,0.9326
будет,110,115,0.9242
пьера,110,116,0.9242
графиня,106,117,0.8906
под,105,118,0.8822
есть,104,119,0.8738
сам,103,120,0.8654
более,101,121,0.8486
этом,101,122,0.8486
день,101,123,0.8486
денисов,100,124,0.8402
мог,100,125,0.8402
один,100,126,0.8402
долохов,100,127,0.8402
нему,99,128,0.8318
жизни,99,129,0.8318
андрея,99,130,0.8318
руку,98,131,0.8234
говорила,98,132,0.8234
человек,97,133,0.815
без,95,134,0.7982
несколько,94,135,0.7898
при,93,136,0.7814
спросил,92,137,0.773
потом,92,138,0.773
которая,92,139,0.773
эти,91,140,0.7646
анатоль,91,141,0.7646
через,90,142,0.7562
всегда,90,143,0.7562
которого,90,144,0.7562
вам,90,145,0.7562
которое,89,146,0.7478
хорошо,88,147,0.7394
никогда,88,148,0.7394
своим,88,149,0.7394
им,88,150,0.7394
нибудь,87,151,0.731
между,87,152,0.731
думал,86,153,0.7226
чтоб,86,154,0.7226
говорить,86,155,0.7226
стал,86,156,0.7226
знаю,85,157,0.7142
другой,83,158,0.6974
глазами,83,159,0.6974
чтó,83,160,0.6974
глядя,82,161,0.689
руки,82,162,0.689
тебе,82,163,0.689
голос,81,164,0.6806
прежде,81,165,0.6806
отца,81,166,0.6806
своих,80,167,0.6722
людей,80,168,0.6722
казалось,79,169,0.6637
знал,79,170,0.6637
эту,79,171,0.6637
улыбкой,79,172,0.6637
них,78,173,0.6553
минуту,78,174,0.6553
свое,78,175,0.6553
нем,77,176,0.6469
даже,76,177,0.6385
об,76,178,0.6385
le,76,179,0.6385
жизнь,76,180,0.6385
тому,75,181,0.6301
всем,73,182,0.6133
сказать,73,183,0.6133
ростова,72,184,0.6049
ведь,72,185,0.6049
голову,72,186,0.6049
над,72,187,0.6049
старый,72,188,0.6049
больше,72,189,0.6049
тоже,71,190,0.5965
которой,70,191,0.5881
видел,70,192,0.5881
комнаты,70,193,0.5881
ах,70,194,0.5881
борис,70,195,0.5881
друг,69,196,0.5797
слова,69,197,0.5797
ростовых,69,198,0.5797
нужно,69,199,0.5797
ж,68,200,0.5713
москве,67,201,0.5629
могла,67,202,0.5629
наташи,67,203,0.5629
два,67,204,0.5629
графа,66,205,0.5545
хотел,66,206,0.5545
пьеру,66,207,0.5545
которых,65,208,0.5461
чего,65,209,0.5461
свой,65,210,0.5461
тогда,65,211,0.5461
долго,65,212,0.5461
особенно,64,213,0.5377
разговор,64,214,0.5377
вместе,64,215,0.5377
человека,64,216,0.5377
эта,64,217,0.5377
наташе,64,218,0.5377
приехал,63,219,0.5293
котором,63,220,0.5293
дома,62,221,0.5209
тот,62,222,0.5209
отвечал,62,223,0.5209
много,62,224,0.5209
должен,62,225,0.5209
элен,62,226,0.5209
наташу,62,227,0.5209
уж,61,228,0.5125
вышел,61,229,0.5125
нельзя,61,230,0.5125
всего,61,231,0.5125
совсем,60,232,0.5041
этой,60,233,0.5041
могу,60,234,0.5041
est,60,235,0.5041
свои,59,236,0.4957
такое,59,237,0.4957
лица,59,238,0.4957
там,59,239,0.4957
князю,59,240,0.4957
государь,59,241,0.4957
говорили,58,242,0.4873
чувство,58,243,0.4873
которую,57,244,0.4789
тут,56,245,0.4705
кроме,56,246,0.4705
письмо,56,247,0.4705
et,56,248,0.4705
дмитриевна,56,249,0.4705
назад,55,250,0.4621
отец,55,251,0.4621
давно,55,252,0.4621
тех,54,253,0.4537
сделал,54,254,0.4537
думала,54,255,0.4537
la,54,256,0.4537
вперед,53,257,0.4453
сейчас,53,258,0.4453
дверь,53,259,0.4453
одно,53,260,0.4453
люди,53,261,0.4453
улыбаясь,53,262,0.4453
денисова,53,263,0.4453
своею,53,264,0.4453
сделать,53,265,0.4453
смотрел,53,266,0.4453
своем,53,267,0.4453
несмотря,52,268,0.4369
совершенно,52,269,0.4369
вошел,52,270,0.4369
времени,52,271,0.4369
андреич,52,272,0.4369
долохова,52,273,0.4369
люблю,52,274,0.4369
доме,51,275,0.4285
пошел,51,276,0.4285
которым,51,277,0.4285
дядюшка,51,278,0.4285
подошел,50,279,0.4201
своему,50,280,0.4201
ехать,49,281,0.4117
двери,49,282,0.4117
те,49,283,0.4117
тебя,49,284,0.4117
этих,49,285,0.4117
три,48,286,0.4033
стоял,48,287,0.4033
дела,48,288,0.4033
кого,48,289,0.4033
комнату,48,290,0.4033
комнате,48,291,0.4033
любви,48,292,0.4033
очевидно,48,293,0.4033
хотя,48,294,0.4033
первый,47,295,0.3949
почти,47,296,0.3949
тотчас,46,297,0.3865
сына,46,298,0.3865
видеть,46,299,0.3865
куда,46,300,0.3865
ту,46,301,0.3865
стала,46,302,0.3865
подумал,45,303,0.3781
лучше,45,304,0.3781
андрею,45,305,0.3781
года,44,306,0.3697
здесь,44,307,0.3697
всю,44,308,0.3697
этим,43,309,0.3613
матери,43,310,0.3613
ко,43,311,0.3613
какой,42,312,0.3529
чувствовал,42,313,0.3529
илья,42,314,0.3529
никто,42,315,0.3529
сама,42,316,0.3529
нас,41,317,0.3445
увидал,41,318,0.3445
одна,41,319,0.3445
друга,41,320,0.3445
две,41,321,0.3445
душе,41,322,0.3445
видимо,41,323,0.3445
можно,41,324,0.3445
одной,41,325,0.3445
моя,41,326,0.3445
сидел,40,327,0.3361
