name,name_lower,chapter_idx,count
Васька,васьк,0,3
Васьки Денисова,васьк денис,0,1
Вены,вен,0,3
Вера,вер,0,14
Веру Ростову,вер ростов,0,1
Вершины,вершин,0,1
Вздвиженке,вздвиженк,0,2
Вилларский,вилларский,0,13
Вилларским,вилларским,0,2
Вилларскому,вилларском,0,1
Вифлянкой,вифлянк,0,2
Вишь,вишь,0,2
Водоноса,водонос,0,1
Возбуждай,возбуждай,0,1
Волторна,волторн,0,1
Волшебница,волшебниц,0,2
Вольтера,вольтер,0,1
Воронеж,воронеж,0,1
Востока,восток,0,2
Восхитительно,восхитительно,0,1
Всемилостивейшего,всемилостивейшего,0,1
Вскочив,вскочив,0,1
Вспомни,вспомн,0,1
Встретившиеся,встретившиес,0,1
Всюду,всюд,0,1
Второе,второ,0,1
Входит,входит,0,1
Вхожу,вхож,0,1
Выждав,выждав,0,1
Выигрыш,выигрыш,0,1
Выпадала,выпадал,0,1
Вяземский,вяземский,0,1
Гаврилы,гаврил,0,1
Гей,гей,0,1
Георгием,георги,0,2
Георгиевскою,георгиевско,0,1
Гердера,гердер,0,1
Герцог Ольденбургский,герцог ольденбургский,0,1
Гирчик,гирчик,0,1
Глогау,глога,0,2
Голуховскому,голуховском,0,1
Горести,горест,0,1
Горчаковы,горчаков,0,1
Госпитальные,госпитальны,0,1
Гостиная,гостина,0,1
Гром,гр,0,2
Графинюшка,графинюшк,0,1
Гришка,гришк,0,1
Грудной,грудн,0,1
Данила,данил,0,15
Данило,данило,0,16
Двоюродные,двоюродны,0,1
Дели,дел,0,1
Дементьева,дементь,0,1
Демьяна,демьян,0,2
Денисов,денис,0,140
Денисову,денисов,0,11
Денисовым,денисовым,0,10
Дерзки,дерзк,0,1
Десале,десал,0,2
Десятка,десятк,0,1
Диану,диан,0,1
Диммлер,диммлер,0,13
Директором,директор,0,1
Дмитрий,дмитрий,0,1
Довольны,довольн,0,1
Дожойвейку,дожойвейк,0,1
Долгорукова,долгорук,0,2
Долохов,долох,0,132
Долохов Денисову,долох денисов,0,1
Долохов Ростову,долох ростов,0,1
Долохову,долохов,0,10
Долоховым,долоховым,0,20
Дорожка,дорожк,0,1
Дочитав,дочитав,0,1
Дрона,дрон,0,1
Друбецкой,друбецк,0,4
Друбецкого,друбецкого,0,3
Дружочек,дружочек,0,1
Дубравы,дубрав,0,1
Дуняшу,дуняш,0,8
Душенька,душеньк,0,3
Дым,дым,0,1
Дюпора,дюпор,0,4
Дяденьки,дяденьк,0,1
Дёмкина,дёмк,0,1
Евангелие,евангели,0,4
Европы,европ,0,4
Египтяне,египтян,0,1
Единственная,единственна,0,1
Екатерининского,екатерининского,0,1
Елена Васильевна,елен васильевн,0,4
"Еленой Васильевной
Безуховой",елен васильевн безухов,0,1
Елизавета,елизавет,0,1
Ерзу,ерз,0,7
Ерзынька,ерзыньк,0,1
Жалкие,жалки,0,1
Жаровых,жаровых,0,1
Желаете,желает,0,1
Жерве,жерв,0,4
Жилинский,жилинский,0,2
Жилинским,жилинским,0,2
Жилинского,жилинского,0,2
Жилинскому,жилинском,0,1
