name,name_lower,occurrences,first_offset,chapters,num_chapters,context_sample
Чтò,чтò,108,18844,,0,
Сперанский,сперанский,38,315252,,0,
Сперанского,сперанского,29,314335,,0,
Bourienne,bourienne,23,180860,,0,
Чтó,чтó,22,302113,,0,
Илагин,илагин,17,518219,,0,
Le Roi,le roi,3,176230,,0,"двинувшись вперед на кресле, сказал: -- Le Roi de Prusse!435 -- и сказав это, засмеялся."
Диммлер,диммлер,16,545257,,0,
Николинька,николинька,15,7423,,0,
Le,le,15,171373,,0,
Вилларский,вилларский,14,141815,,0,
Растопчин,растопчин,11,23532,,0,
Mon,mon,11,62365,,0,
Georges,georges,11,674896,,0,
Nicolas,nicolas,10,13252,,0,
Шиншин,шиншин,10,25325,,0,
Je,je,10,52102,,0,
Буксгевден,буксгевден,10,760620,,0,
Митинька,митинька,9,19030,,0,
Empereur,empereur,9,173829,,0,
Prusse,prusse,9,176240,,0,
Boukshevden,boukshevden,9,192699,,0,
Карагин,карагин,9,622922,,0,
Roi,roi,8,176233,,0,
Болконскому,болконскому,8,208587,,0,
Даниловна,даниловна,8,573253,,0,
Несвицкий,несвицкий,7,27479,,0,
André,andré,7,62375,,0,
Билибин,билибин,7,187588,,0,
Аракчеева,аракчеева,7,316453,,0,
Сперанскому,сперанскому,7,322864,,0,
Магницкий,магницкий,7,326369,,0,
Макарин,макарин,7,708779,,0,
Богдановна,богдановна,6,67364,,0,
Иогель,иогель,6,92163,,0,
Les,les,6,188465,,0,
Пелагеюшка,пелагеюшка,6,235391,,0,
Тильзит,тильзит,6,273621,,0,
Буонапарте,буонапарте,6,273955,,0,
Аустерлицком,аустерлицком,5,23002,,0,
Нарышкин,нарышкин,5,28471,,0,
Андреича,андреича,5,36134,,0,
Pétersbourg,pétersbourg,5,168919,,0,
Vous,vous,5,175604,,0,
Nous,nous,5,177538,,0,
Богучарово,богучарово,5,181839,,0,
Mais,mais,5,188598,,0,
Сперанским,сперанским,5,314539,,0,
Сперанском,сперанском,5,332117,,0,
Мелюковых,мелюковых,5,574263,,0,
Карагиных,карагиных,5,628024,,0,
Дюпор,дюпор,5,767410,,0,
Duport,duport,4,12235,,0,
Иогеля,иогеля,4,85060,,0,
Бенигсен,бенигсен,4,186105,,0,
Прейсиш,прейсиш,4,186464,,0,
Prussiens,prussiens,4,188454,,0,
Et,et,4,190872,,0,
Машкин,машкин,4,247641,,0,
Жилинский,жилинский,4,275998,,0,
Кочубея,кочубея,4,315145,,0,
Андреичем,андреичем,4,322561,,0,
Si,si,4,329406,,0,
