token,count,rank,per_1k
вместо,2887,1,22.6309
его,1353,2,10.606
было,780,3,6.1143
от,668,4,5.2364
а,657,5,5.1502
только,610,6,4.7817
ее,606,7,4.7504
был,594,8,4.6563
после,573,9,4.4917
сказал,553,10,4.3349
для,540,11,4.233
слов,533,12,4.1781
пьер,518,13,4.0605
чтò,511,14,4.0057
ему,509,15,3.99
во,495,16,3.8803
глава,396,17,3.1042
того,375,18,2.9396
или,358,19,2.8063
ни,334,20,2.6182
теперь,328,21,2.5712
их,322,22,2.5241
еще,314,23,2.4614
время,303,24,2.3752
была,289,25,2.2654
него,283,26,2.2184
князь,281,27,2.2027
пьера,279,28,2.1871
были,278,29,2.1792
чем,276,30,2.1635
быть,272,31,2.1322
которые,270,32,2.1165
до,265,33,2.0773
наташа,264,34,2.0695
себе,254,35,1.9911
чтобы,253,36,1.9832
себя,247,37,1.9362
уже,238,38,1.8657
слова,232,39,1.8186
николай,224,40,1.7559
тем,223,41,1.7481
всех,220,42,1.7246
человек,218,43,1.7089
который,218,44,1.7089
ей,217,45,1.701
есть,215,46,1.6854
говорил,214,47,1.6775
потому,213,48,1.6697
сказала,201,49,1.5756
жизни,198,50,1.5521
мне,197,51,1.5443
под,194,52,1.5207
без,194,53,1.5207
людей,192,54,1.5051
князя,189,55,1.4816
княжна,186,56,1.458
андрей,183,57,1.4345
может,182,58,1.4267
марья,182,59,1.4267
французов,180,60,1.411
им,177,61,1.3875
наполеона,174,62,1.364
лицо,173,63,1.3561
вдруг,170,64,1.3326
один,167,65,1.3091
человека,167,66,1.3091
армии,167,67,1.3091
меня,166,68,1.3013
денисов,166,69,1.3013
всегда,165,70,1.2934
со,161,71,1.2621
ним,160,72,1.2542
ничего,159,73,1.2464
опять,159,74,1.2464
между,154,75,1.2072
будто,153,76,1.1994
de,152,77,1.1915
надо,151,78,1.1837
будет,151,79,1.1837
перед,150,80,1.1758
более,145,81,1.1366
мог,141,82,1.1053
разговор,140,83,1.0974
своей,139,84,1.0896
генерал,138,85,1.0818
больше,137,86,1.0739
свои,134,87,1.0504
кутузов,133,88,1.0426
которого,130,89,1.0191
которое,130,90,1.0191
свою,130,91,1.0191
тогда,129,92,1.0112
войска,129,93,1.0112
тому,127,94,0.9955
своего,126,95,0.9877
люди,126,96,0.9877
этом,124,97,0.972
никогда,124,98,0.972
андрея,124,99,0.972
солдат,123,100,0.9642
ней,123,101,0.9642
нибудь,121,102,0.9485
москвы,121,103,0.9485
этих,120,104,0.9407
прежде,120,105,0.9407
времени,120,106,0.9407
кончая,119,107,0.9328
день,117,108,0.9172
нее,115,109,0.9015
которой,115,110,0.9015
другой,114,111,0.8936
гг,114,112,0.8936
про,113,113,0.8858
раз,113,114,0.8858
глаза,113,115,0.8858
наташи,113,116,0.8858
петя,113,117,0.8858
тех,112,118,0.878
несколько,111,119,0.8701
го,109,120,0.8544
казалось,108,121,0.8466
чтоб,108,122,0.8466
русских,105,123,0.8231
наполеон,104,124,0.8152
свое,103,125,0.8074
войны,103,126,0.8074
жизнь,102,127,0.7996
кутузова,101,128,0.7917
николая,101,129,0.7917
одно,100,130,0.7839
которых,100,131,0.7839
говорит,100,132,0.7839
дело,100,133,0.7839
сказать,99,134,0.7761
них,99,135,0.7761
всем,99,136,0.7761
несмотря,99,137,0.7761
е,99,138,0.7761
хорошо,98,139,0.7682
силы,98,140,0.7682
французский,97,141,0.7604
графиня,97,142,0.7604
истории,96,143,0.7525
