name,name_lower,chapter_idx,count
Ah,ah,2,1
Ah,ah,42,1
Ah,ah,102,1
Ah,ah,106,1
Ah,ah,111,2
Ah,ah,115,1
Alexandre,alexandre,132,1
Alexandre,alexandre,139,1
Alexandre,alexandre,141,1
Alexandre,alexandre,312,1
Allemands,allemands,125,1
Altesse,altesse,17,1
Andr,andr,14,1
Andr,andr,103,1
Andr,andr,132,1
Andr,andr,134,1
Andr,andr,143,1
Annette,annette,108,5
Attendez,attendez,121,2
Autrichiens,autrichiens,0,1
Bassano,bassano,313,1
Beausset,beausset,313,1
Berg,berg,111,2
Besouhof,besouhof,9,1
Bonjour,bonjour,44,2
Bonjour,bonjour,145,1
Boris,boris,108,1
Vincent Bosse,bosse,42,2
Bourbons,bourbons,102,1
Bourbons,bourbons,313,1
Bourienne,bourienne,5,3
Bourienne,bourienne,13,4
Bourienne,bourienne,79,4
Bref,bref,102,1
Bruxelles,bruxelles,333,1
Buonaparte,buonaparte,102,1
Buonaparte,buonaparte,103,1
Buonaparte,buonaparte,313,1
Buonaparte,buonaparte,324,1
Caporal,caporal,28,1
Caulaincourt,caulaincourt,319,1
Ceci,ceci,120,1
Ch,ch,82,1
Charlotte,charlotte,102,1
Charon,charon,334,1
Cherubini,cherubini,318,1
Les Chevaliers,chevaliers,316,1
Cl,cl,44,1
Clitemnestre,clitemnestre,102,1
Clitemnestre,clitemnestre,327,1
Colonne,colonne,19,2
Colonne,colonne,21,1
Colonne,colonne,58,1
Colonne,colonne,146,1
Cond,cond,102,1
Confessions,confessions,102,2
Confessions,confessions,328,1
Contrat,contrat,106,1
Contrat,contrat,328,1
Cordial,cordial,118,1
Corneille,corneille,103,1
Corneille,corneille,319,1
Cousinage,cousinage,108,1
Cygne,cygne,143,1
Cygne,cygne,316,1
Das,das,121,1
Dessales,dessales,87,2
Dieu,dieu,17,1
Dieu,dieu,106,2
Don,don,33,1
Don,don,144,1
Duport,duport,316,1
Eh,eh,2,1
Eh,eh,28,1
Eh,eh,102,1
Eh,eh,108,1
Eh,eh,123,1
